Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
HSCU1801767,20180918,0,HKHKG/UNK,OH,E,20180919,1033,HKHKG/HIT,LF,F
HSCU1801767,20180919,1033,HKHKG/HIT,LF,F,20180922,1120,HKHKG/HIT,VF,F
HSCU1801767,20180922,1120,HKHKG/HIT,VF,F,20180926,2224,SGSIN/PSA,DF,F
HSCU1801767,20180926,2224,SGSIN/PSA,DF,F,20180927,839,SGSIN/PSA,CF,F
HSCU1801767,20180927,839,SGSIN/PSA,CF,F,20181008,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
HSCU1801788,20180918,0,HKHKG/UNK,OH,E,20180919,2017,HKHKG/HIT,LF,F
HSCU1801788,20180919,2017,HKHKG/HIT,LF,F,20180922,1119,HKHKG/HIT,VF,F
HSCU1801788,20180922,1119,HKHKG/HIT,VF,F,20180926,2224,SGSIN/PSA,DF,F
HSCU1801788,20180926,2224,SGSIN/PSA,DF,F,20180927,839,SGSIN/PSA,CF,F
HSCU1801788,20180927,839,SGSIN/PSA,CF,F,20181008,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
JKCU1008511,20180109,0,CNSHA/UNK,OH,E,20180111,2109,CNSHA/WG1,LF,F
JKCU1008511,20180111,2109,CNSHA/WG1,LF,F,20180211,2400,CNSHA/UNK,FH,E
,,,,,,,,,,
LSBU3007572,20181213,0,CNSHA/UNK,OH,E,20181213,1,CNSHA/YS4,SF,F
LSBU3007572,20181213,1,CNSHA/YS4,SF,F,20181217,1500,CNSHA/YS4,LF,F
LSBU3007572,20181217,1500,CNSHA/YS4,LF,F,20181218,1230,CNSHA/YS4,VF,F
,,,,,,,,,,
LSBU3007588,20181213,0,CNSHA/UNK,OH,E,20181213,1,CNSHA/YS4,SF,F
LSBU3007588,20181213,1,CNSHA/YS4,SF,F,20181217,1500,CNSHA/YS4,LF,F
LSBU3007588,20181217,1500,CNSHA/YS4,LF,F,20181218,1230,CNSHA/YS4,VF,F
,,,,,,,,,,
LSBU3007593,20181213,0,CNSHA/UNK,OH,E,20181213,1,CNSHA/YS4,SF,F
LSBU3007593,20181213,1,CNSHA/YS4,SF,F,20181217,1500,CNSHA/YS4,LF,F
LSBU3007593,20181217,1500,CNSHA/YS4,LF,F,20181218,1230,CNSHA/YS4,VF,F
,,,,,,,,,,
LSBU3007607,20181213,0,CNSHA/UNK,OH,E,20181213,1,CNSHA/YS4,SF,F
LSBU3007607,20181213,1,CNSHA/YS4,SF,F,20181217,1500,CNSHA/YS4,LF,F
LSBU3007607,20181217,1500,CNSHA/YS4,LF,F,20181218,1230,CNSHA/YS4,VF,F
,,,,,,,,,,
LSBU3007612,20181213,0,CNSHA/UNK,OH,E,20181213,1,CNSHA/YS4,SF,F
LSBU3007612,20181213,1,CNSHA/YS4,SF,F,20181217,1500,CNSHA/YS4,LF,F
LSBU3007612,20181217,1500,CNSHA/YS4,LF,F,20181218,1230,CNSHA/YS4,VF,F
,,,,,,,,,,
LSKU3110407,20180822,0,CNSHA/UNK,OH,E,20180825,1109,CNSHA/WG5,LF,F
LSKU3110407,20180825,1109,CNSHA/WG5,LF,F,20180827,1400,CNSHA/WG5,VF,F
LSKU3110407,20180827,1400,CNSHA/WG5,VF,F,20180914,806,AUMEL/VIT,DF,F
LSKU3110407,20180914,806,AUMEL/VIT,DF,F,20180914,1458,AUMEL/VIT,CF,F
LSKU3110407,20180914,1458,AUMEL/VIT,CF,F,20181024,2400,AUMEL/UNK,FH,E
,,,,,,,,,,
LSKU3110412,20180822,0,CNSHA/UNK,OH,E,20180825,720,CNSHA/WG5,LF,F
LSKU3110412,20180825,720,CNSHA/WG5,LF,F,20180827,1400,CNSHA/WG5,VF,F
LSKU3110412,20180827,1400,CNSHA/WG5,VF,F,20180914,815,AUMEL/VIT,DF,F
LSKU3110412,20180914,815,AUMEL/VIT,DF,F,20180914,1458,AUMEL/VIT,CF,F
LSKU3110412,20180914,1458,AUMEL/VIT,CF,F,20181024,2400,AUMEL/UNK,FH,E
,,,,,,,,,,
LSKU3110428,20180822,0,CNSHA/UNK,OH,E,20180825,1109,CNSHA/WG5,LF,F
LSKU3110428,20180825,1109,CNSHA/WG5,LF,F,20180827,1400,CNSHA/WG5,VF,F
LSKU3110428,20180827,1400,CNSHA/WG5,VF,F,20180914,806,AUMEL/VIT,DF,F
LSKU3110428,20180914,806,AUMEL/VIT,DF,F,20180914,1740,AUMEL/VIT,CF,F
LSKU3110428,20180914,1740,AUMEL/VIT,CF,F,20181024,2400,AUMEL/UNK,FH,E
,,,,,,,,,,
LSKU3110454,20180822,0,CNSHA/UNK,OH,E,20180825,720,CNSHA/WG5,LF,F
LSKU3110454,20180825,720,CNSHA/WG5,LF,F,20180827,1400,CNSHA/WG5,VF,F
LSKU3110454,20180827,1400,CNSHA/WG5,VF,F,20180914,815,AUMEL/VIT,DF,F
LSKU3110454,20180914,815,AUMEL/VIT,DF,F,20180914,1740,AUMEL/VIT,CF,F
LSKU3110454,20180914,1740,AUMEL/VIT,CF,F,20181024,2400,AUMEL/UNK,FH,E
,,,,,,,,,,
RHNU4002410,20180718,0,CNSHA/UNK,OH,E,20180728,1036,CNSHA/WG1,LF,F
RHNU4002410,20180728,1036,CNSHA/WG1,LF,F,20180731,1630,CNSHA/WG1,VF,F
RHNU4002410,20180731,1630,CNSHA/WG1,VF,F,20180809,1355,UEVYP/VOS,DF,F
RHNU4002410,20180809,1355,UEVYP/VOS,DF,F,20180813,2400,UEVYP/VOS,FH,E
RHNU4002410,20180813,2400,UEVYP/VOS,FH,E,20180813,1400,UEVYP/VOS,CF,F
,,,,,,,,,,
SSFU2007054,20180104,0,CNSHA/UNK,OH,E,20180104,1,CNSHA/WG1,SF,F
SSFU2007054,20180104,1,CNSHA/WG1,SF,F,20180105,1200,CNSHA/WG1,LF,F
SSFU2007054,20180105,1200,CNSHA/WG1,LF,F,20180106,500,CNSHA/WG1,VF,F
SSFU2007054,20180106,500,CNSHA/WG1,VF,F,20180112,2205,UEVYP/VOS,DF,F
SSFU2007054,20180112,2205,UEVYP/VOS,DF,F,20180122,1226,UEVYP/VOS,CF,F
SSFU2007054,20180122,1226,UEVYP/VOS,CF,F,20180206,2400,UEVYP/VOS,FH,E
,,,,,,,,,,
VPTU2034350,20180319,0,HKHKG/UNK,OH,E,20180319,1,HKHKG/HIT,SF,F
VPTU2034350,20180319,1,HKHKG/HIT,SF,F,20180319,1549,HKHKG/HIT,LF,F
VPTU2034350,20180319,1549,HKHKG/HIT,LF,F,20180323,1706,HKHKG/HIT,VF,F
VPTU2034350,20180323,1706,HKHKG/HIT,VF,F,20180326,902,TWKHH/078,DF,F
VPTU2034350,20180326,902,TWKHH/078,DF,F,20180327,1649,TWKHH/118,OI,F
VPTU2034350,20180327,1649,TWKHH/118,OI,F,20180327,1704,TWKHH/118,LF,F
VPTU2034350,20180327,1704,TWKHH/118,LF,F,20180331,1229,TWKHH/118,VF,F
VPTU2034350,20180331,1229,TWKHH/118,VF,F,20180417,931,AEDXB/JAT,DF,F
VPTU2034350,20180417,931,AEDXB/JAT,DF,F,20180422,1422,AEDXB/JAT,CF,F
VPTU2034350,20180422,1422,AEDXB/JAT,CF,F,20180422,1423,AEDXB/ITE,SF,E
VPTU2034350,20180422,1423,AEDXB/ITE,SF,E,20180422,1424,AEDXB/JAT,LF,F
VPTU2034350,20180422,1424,AEDXB/JAT,LF,F,20180429,332,AEDXB/JAT,VF,F
VPTU2034350,20180429,332,AEDXB/JAT,VF,F,20180503,947,IRBND/BCT,DF,F
VPTU2034350,20180503,947,IRBND/BCT,DF,F,20180705,2400,IRBND/BCT,FH,E
VPTU2034350,20180705,2400,IRBND/BCT,FH,E,20180705,1200,IRBND/BCT,CF,F
,,,,,,,,,,
VPTU2034406,20180320,0,HKHKG/UNK,OH,E,20180320,1,HKHKG/HIT,SF,F
VPTU2034406,20180320,1,HKHKG/HIT,SF,F,20180320,1128,HKHKG/HIT,LF,F
VPTU2034406,20180320,1128,HKHKG/HIT,LF,F,20180323,1659,HKHKG/HIT,VF,F
VPTU2034406,20180323,1659,HKHKG/HIT,VF,F,20180326,911,TWKHH/078,DF,F
VPTU2034406,20180326,911,TWKHH/078,DF,F,20180327,2008,TWKHH/118,OI,F
VPTU2034406,20180327,2008,TWKHH/118,OI,F,20180327,2025,TWKHH/118,LF,F
VPTU2034406,20180327,2025,TWKHH/118,LF,F,20180331,1414,TWKHH/118,VF,F
VPTU2034406,20180331,1414,TWKHH/118,VF,F,20180417,927,AEDXB/JAT,DF,F
VPTU2034406,20180417,927,AEDXB/JAT,DF,F,20180422,1422,AEDXB/JAT,CF,F
VPTU2034406,20180422,1422,AEDXB/JAT,CF,F,20180422,1423,AEDXB/ITE,SF,E
