Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
AMFU1373424,20180820,0,CNSHA/UNK,OH,E,20180826,720,CNSHA/WG1,LF,F
AMFU1373424,20180826,720,CNSHA/WG1,LF,F,20180827,1230,CNSHA/WG1,VF,F
AMFU1373424,20180827,1230,CNSHA/WG1,VF,F,20180917,2400,INNSA/NSA,FH,E
AMFU1373424,20180917,2400,INNSA/NSA,FH,E,20180917,2100,INNSA/NSA,DF,F
,,,,,,,,,,
AMFU1380320,20180104,330,VNHPH/TVU,DF,F,20180109,2359,VNHPH/TVU,CF,F
AMFU1380320,20180109,2359,VNHPH/TVU,CF,F,20180110,1751,VNHPH/HHH,TE,E
AMFU1380320,20180110,1751,VNHPH/HHH,TE,E,20180116,100,VNHPH/GRE,OE,E
AMFU1380320,20180116,100,VNHPH/GRE,OE,E,20180116,130,VNHPH/GRE,TE,E
AMFU1380320,20180116,130,VNHPH/GRE,TE,E,20180116,1000,VNHPH/GRE,VE,E
AMFU1380320,20180116,1000,VNHPH/GRE,VE,E,20180123,40,KRPUS/BIT,TE,E
AMFU1380320,20180123,40,KRPUS/BIT,TE,E,20180201,1715,KRPUS/BIT,SF,E
AMFU1380320,20180201,1715,KRPUS/BIT,SF,E,20180202,1650,KRPUS/TOC,LF,F
AMFU1380320,20180202,1650,KRPUS/TOC,LF,F,20180205,912,KRPUS/TOC,VF,F
AMFU1380320,20180205,912,KRPUS/TOC,VF,F,20180219,1433,MYPKG/KCT,DF,F
AMFU1380320,20180219,1433,MYPKG/KCT,DF,F,20180220,1422,MYPKG/KCT,CF,F
AMFU1380320,20180220,1422,MYPKG/KCT,CF,F,20180221,1448,MYPKG/PPS,TE,E
AMFU1380320,20180221,1448,MYPKG/PPS,TE,E,20180406,1909,MYPKG/KMT,OE,E
AMFU1380320,20180406,1909,MYPKG/KMT,OE,E,20180406,2000,MYPKG/KMT,TE,E
AMFU1380320,20180406,2000,MYPKG/KMT,TE,E,20180407,1800,MYPKG/KMT,VE,E
AMFU1380320,20180407,1800,MYPKG/KMT,VE,E,20180418,1219,CNTAO/QCN,TE,E
AMFU1380320,20180418,1219,CNTAO/QCN,TE,E,20180419,929,CNTAO/SJY,OE,E
AMFU1380320,20180419,929,CNTAO/SJY,OE,E,20180419,959,CNTAO/SJY,TE,E
AMFU1380320,20180419,959,CNTAO/SJY,TE,E,20180716,1221,CNTAO/SJY,SF,E
