Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
CICU5000165,20180712,0,CNYTN/UNK,OH,E,20180713,1545,CNYTN/YTN,LF,F
CICU5000165,20180713,1545,CNYTN/YTN,LF,F,20180716,407,CNYTN/YTN,VF,F
CICU5000165,20180716,407,CNYTN/YTN,VF,F,20180802,123,USLAX/APM,DF,F
CICU5000165,20180802,123,USLAX/APM,DF,F,20180807,1451,USLAX/APM,CF,F
CICU5000165,20180807,1451,USLAX/APM,CF,F,20180816,2158,USLAX/APM,TE,E
CICU5000165,20180816,2158,USLAX/APM,TE,E,20180907,1454,USLAX/APM,VE,E
CICU5000165,20180907,1454,USLAX/APM,VE,E,20181003,1453,CNYTN/YTN,TE,E
CICU5000165,20181003,1453,CNYTN/YTN,TE,E,20181010,1948,CNYTN/YTN,OE,E
CICU5000165,20181010,1948,CNYTN/YTN,OE,E,20181011,2400,CNYTN/UNK,FH,E
,,,,,,,,,,
CICU5000550,20180408,0,CNYTN/UNK,OH,E,20180408,1,CNYTN/YTN,SF,F
CICU5000550,20180408,1,CNYTN/YTN,SF,F,20180409,2355,CNYTN/YTN,LF,F
CICU5000550,20180409,2355,CNYTN/YTN,LF,F,20180415,1438,CNYTN/YTN,VF,F
CICU5000550,20180415,1438,CNYTN/YTN,VF,F,20180501,2314,USLAX/APM,DF,F
CICU5000550,20180501,2314,USLAX/APM,DF,F,20180502,1610,USLAX/APM,CF,F
CICU5000550,20180502,1610,USLAX/APM,CF,F,20180508,1459,USLAX/APM,TE,E
CICU5000550,20180508,1459,USLAX/APM,TE,E,20180517,224,USLAX/APM,VE,E
CICU5000550,20180517,224,USLAX/APM,VE,E,20180617,734,CNYTN/YTN,TE,E
CICU5000550,20180617,734,CNYTN/YTN,TE,E,20180621,2400,CNYTN/OFD,FH,E
CICU5000550,20180621,2400,CNYTN/OFD,FH,E,20180621,1137,CNYTN/OFD,OE,E
,,,,,,,,,,
CICU5000674,20180423,0,CNYTN/UNK,OH,E,20180423,1,CNYTN/YTN,SF,F
CICU5000674,20180423,1,CNYTN/YTN,SF,F,20180425,832,CNYTN/YTN,LF,F
CICU5000674,20180425,832,CNYTN/YTN,LF,F,20180429,856,CNYTN/YTN,VF,F
CICU5000674,20180429,856,CNYTN/YTN,VF,F,20180515,1946,USLAX/APM,DF,F
