Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
HDMU4903228,20180106,733,USNYC/MST,DF,F,20180111,1927,USNYC/MST,CF,F
HDMU4903228,20180111,1927,USNYC/MST,CF,F,20180118,1622,USNYC/PNT,TE,E
HDMU4903228,20180118,1622,USNYC/PNT,TE,E,20180214,1224,USNYC/PNT,VE,E
HDMU4903228,20180214,1224,USNYC/PNT,VE,E,20180327,704,VNQOE/COT,TE,E
HDMU4903228,20180327,704,VNQOE/COT,TE,E,20180518,1045,VNSGN/BDP,OE,E
HDMU4903228,20180518,1045,VNSGN/BDP,OE,E,20180519,1824,VNSGN/BDP,TE,E
HDMU4903228,20180519,1824,VNSGN/BDP,TE,E,20180620,426,VNSGN/BDP,SF,E
HDMU4903228,20180620,426,VNSGN/BDP,SF,E,20180621,59,VNSGN/CD3,TX,F
HDMU4903228,20180621,59,VNSGN/CD3,TX,F,20180624,1902,VNQOE/COT,OX,F
HDMU4903228,20180624,1902,VNQOE/COT,OX,F,20180625,1011,VNQOE/COT,LF,F
HDMU4903228,20180625,1011,VNQOE/COT,LF,F,20180626,2055,VNQOE/COT,VF,F
HDMU4903228,20180626,2055,VNQOE/COT,VF,F,20180723,2349,USNYC/PNT,DF,F
HDMU4903228,20180723,2349,USNYC/PNT,DF,F,20180727,1754,USNYC/PNT,CF,F
HDMU4903228,20180727,1754,USNYC/PNT,CF,F,20180807,1600,USNYC/IBI,FH,E
,,,,,,,,,,
HDMU4903341,20180104,1124,USLGB/TTI,DF,F,20180106,1031,USLGB/BNS,OI,F
HDMU4903341,20180106,1031,USLGB/BNS,OI,F,20180106,1236,USLGB/BNS,TI,F
HDMU4903341,20180106,1236,USLGB/BNS,TI,F,20180107,55,USHSX/BNS,OI,F
HDMU4903341,20180107,55,USHSX/BNS,OI,F,20180110,208,USHSX/BNS,TI,F
HDMU4903341,20180110,208,USHSX/BNS,TI,F,20180110,1735,USHSX/BNS,TI,F
HDMU4903341,20180110,1735,USHSX/BNS,TI,F,20180111,1329,USHSX/BNS,CF,F
HDMU4903341,20180111,1329,USHSX/BNS,CF,F,20180116,1105,USHSX/BNS,TE,E
HDMU4903341,20180116,1105,USHSX/BNS,TE,E,20180116,2259,USLGB/BNS,OE,E
HDMU4903341,20180116,2259,USLGB/BNS,OE,E,20180119,1100,USLGB/BNS,TE,E
HDMU4903341,20180119,1100,USLGB/BNS,TE,E,20180119,1103,USLGB/BNS,TE,E
HDMU4903341,20180119,1103,USLGB/BNS,TE,E,20180120,729,USLGB/TTI,OE,E
HDMU4903341,20180120,729,USLGB/TTI,OE,E,20180120,730,USLGB/TTI,TE,E
HDMU4903341,20180120,730,USLGB/TTI,TE,E,20180125,30,USLGB/TTI,VE,E
HDMU4903341,20180125,30,USLGB/TTI,VE,E,20180214,934,CNTAO/QCT,TE,E
HDMU4903341,20180214,934,CNTAO/QCT,TE,E,20180216,1029,CNTAO/SJY,OE,E
HDMU4903341,20180216,1029,CNTAO/SJY,OE,E,20180216,1040,CNTAO/SJY,TE,E
HDMU4903341,20180216,1040,CNTAO/SJY,TE,E,20180216,1042,CNTAO/SJY,TD,E
HDMU4903341,20180216,1042,CNTAO/SJY,TD,E,20180524,1500,CNTAO/SJY,TE,E
,,,,,,,,,,
HDMU4903866,20180106,429,USNYC/MST,DF,F,20180111,1818,USNYC/MST,CF,F
HDMU4903866,20180111,1818,USNYC/MST,CF,F,20180118,1525,USNYC/PNT,TE,E
HDMU4903866,20180118,1525,USNYC/PNT,TE,E,20180122,1716,USNYC/PNT,VE,E
HDMU4903866,20180122,1716,USNYC/PNT,VE,E,20180221,2038,CNSHK/MT1,TE,E
HDMU4903866,20180221,2038,CNSHK/MT1,TE,E,20180223,1405,CNSHK/MT1,VE,E
HDMU4903866,20180223,1405,CNSHK/MT1,VE,E,20180227,951,VNQOE/COT,TE,E
HDMU4903866,20180227,951,VNQOE/COT,TE,E,20180308,1544,VNSGN/CD3,OE,E
HDMU4903866,20180308,1544,VNSGN/CD3,OE,E,20180311,1949,VNSGN/CD3,TE,E
HDMU4903866,20180311,1949,VNSGN/CD3,TE,E,20180709,1237,VNSGN/CD3,SF,E
HDMU4903866,20180709,1237,VNSGN/CD3,SF,E,20180711,11,VNSGN/CD3,TX,F
HDMU4903866,20180711,11,VNSGN/CD3,TX,F,20180712,652,VNQOE/CIT,OX,F
HDMU4903866,20180712,652,VNQOE/CIT,OX,F,20180712,2122,VNQOE/CIT,LF,F
HDMU4903866,20180712,2122,VNQOE/CIT,LF,F,20180713,753,VNQOE/CIT,VF,F
HDMU4903866,20180713,753,VNQOE/CIT,VF,F,20180730,2130,USLGB/TTI,DF,F
HDMU4903866,20180730,2130,USLGB/TTI,DF,F,20180802,2149,USLGB/BNS,OI,F
HDMU4903866,20180802,2149,USLGB/BNS,OI,F,20180802,2354,USLGB/BNS,TI,F
HDMU4903866,20180802,2354,USLGB/BNS,TI,F,20180803,705,USHOU/BNS,OI,F
HDMU4903866,20180803,705,USHOU/BNS,OI,F,20180806,2217,USHOU/BNS,TI,F
HDMU4903866,20180806,2217,USHOU/BNS,TI,F,20180807,326,USHOU/BNS,TI,F
HDMU4903866,20180807,326,USHOU/BNS,TI,F,20180809,900,USHOU/BNS,CF,F
HDMU4903866,20180809,900,USHOU/BNS,CF,F,20180810,1600,USHOU/WGC,FH,E
