Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
AVSU0017161,20180731,0,KRPUS/UNK,OH,E,20180731,100,KRPUS/UNK,SF,E
AVSU0017161,20180731,100,KRPUS/UNK,SF,E,20180822,310,KRPUS/HNC,LF,F
AVSU0017161,20180822,310,KRPUS/HNC,LF,F,20180822,742,KRPUS/HNC,VF,F
AVSU0017161,20180822,742,KRPUS/HNC,VF,F,20180901,1934,USTIW/WUT,DF,F
AVSU0017161,20180901,1934,USTIW/WUT,DF,F,20180905,1045,USTIW/WUT,CF,F
AVSU0017161,20180905,1045,USTIW/WUT,CF,F,20180905,1046,USTIW/UNK,FH,E
AVSU0017161,20180905,1046,USTIW/UNK,FH,E,20181025,1233,USTIW/UNK,OH,E
AVSU0017161,20181025,1233,USTIW/UNK,OH,E,20181025,1234,USTIW/UNK,SF,E
AVSU0017161,20181025,1234,USTIW/UNK,SF,E,20181102,921,USTIW/WUT,LF,F
AVSU0017161,20181102,921,USTIW/WUT,LF,F,20181109,612,USTIW/WUT,VF,F
AVSU0017161,20181109,612,USTIW/WUT,VF,F,20181125,1514,KRPUS/HNC,DF,F
AVSU0017161,20181125,1514,KRPUS/HNC,DF,F,20181125,2103,KRPUS/HNC,CF,F
AVSU0017161,20181125,2103,KRPUS/HNC,CF,F,20181125,2113,KRPUS/UNK,FH,E
,,,,,,,,,,
AVSU0017449,20180323,924,USTIW/UNK,OH,E,20180323,925,USTIW/UNK,SF,E
AVSU0017449,20180323,925,USTIW/UNK,SF,E,20180403,929,USTIW/WUT,LF,F
AVSU0017449,20180403,929,USTIW/WUT,LF,F,20180405,1945,USTIW/WUT,VF,F
AVSU0017449,20180405,1945,USTIW/WUT,VF,F,20180427,1130,CNSHA/WG2,DF,F
AVSU0017449,20180427,1130,CNSHA/WG2,DF,F,20180517,2400,CNSHA/UND,FH,E
AVSU0017449,20180517,2400,CNSHA/UND,FH,E,20181226,0,CNSHA/UNK,OH,E
AVSU0017449,20181226,0,CNSHA/UNK,OH,E,20181226,1,CNSHA/WG2,SF,F
,,,,,,,,,,
AVSU0017475,20180509,0,KRPUS/UNK,OH,E,20180509,100,KRPUS/UNK,SF,E
AVSU0017475,20180509,100,KRPUS/UNK,SF,E,20180526,536,KRPUS/HNC,LF,F
AVSU0017475,20180526,536,KRPUS/HNC,LF,F,20180526,1029,KRPUS/HNC,VF,F
AVSU0017475,20180526,1029,KRPUS/HNC,VF,F,20180605,2059,USTIW/WUT,DF,F
AVSU0017475,20180605,2059,USTIW/WUT,DF,F,20180608,1038,USTIW/WUT,CF,F
AVSU0017475,20180608,1038,USTIW/WUT,CF,F,20180608,1039,USTIW/UNK,FH,E
AVSU0017475,20180608,1039,USTIW/UNK,FH,E,20180801,1235,USTIW/UNK,OH,E
AVSU0017475,20180801,1235,USTIW/UNK,OH,E,20180801,1236,USTIW/UNK,SF,E
AVSU0017475,20180801,1236,USTIW/UNK,SF,E,20180813,1017,USTIW/WUT,LF,F
AVSU0017475,20180813,1017,USTIW/WUT,LF,F,20180818,120,USTIW/WUT,VF,F
AVSU0017475,20180818,120,USTIW/WUT,VF,F,20180910,1032,TWKHH/118,DF,F
AVSU0017475,20180910,1032,TWKHH/118,DF,F,20180912,1651,TWKHH/118,CF,F
AVSU0017475,20180912,1651,TWKHH/118,CF,F,20180913,2400,TWKHH/KAO,FH,E
AVSU0017475,20180913,2400,TWKHH/KAO,FH,E,20181114,0,TWKHH/078,OH,E
AVSU0017475,20181114,0,TWKHH/078,OH,E,20181114,800,TWKHH/078,SF,E
AVSU0017475,20181114,800,TWKHH/078,SF,E,20181114,1559,TWKHH/078,LF,F
AVSU0017475,20181114,1559,TWKHH/078,LF,F,20181119,1916,TWKHH/078,VF,F
AVSU0017475,20181119,1916,TWKHH/078,VF,F,20181206,1840,USTIW/WUT,DF,F
AVSU0017475,20181206,1840,USTIW/WUT,DF,F,20181208,1128,USTIW/WUT,CF,F
AVSU0017475,20181208,1128,USTIW/WUT,CF,F,20181208,1129,USTIW/UNK,FH,E
,,,,,,,,,,
AVSU0017599,20180110,0,TWKHH/078,OH,E,20180110,800,TWKHH/078,SF,E
AVSU0017599,20180110,800,TWKHH/078,SF,E,20180110,1119,TWKHH/078,LF,F
AVSU0017599,20180110,1119,TWKHH/078,LF,F,20180115,150,TWKHH/078,VF,F
AVSU0017599,20180115,150,TWKHH/078,VF,F,20180202,311,USTIW/WUT,DF,F
AVSU0017599,20180202,311,USTIW/WUT,DF,F,20180205,1151,USTIW/WUT,CF,F
AVSU0017599,20180205,1151,USTIW/WUT,CF,F,20180205,1152,USTIW/UNK,FH,E
AVSU0017599,20180205,1152,USTIW/UNK,FH,E,20180612,0,TWKHH/078,OH,E
AVSU0017599,20180612,0,TWKHH/078,OH,E,20180612,800,TWKHH/078,SF,E
