Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
AMFU2982786,20180112,309,USSAV/GCT,DF,F,20180112,1210,USSAV/GCT,CF,F
AMFU2982786,20180112,1210,USSAV/GCT,CF,F,20180116,734,USSAV/GCT,TE,E
AMFU2982786,20180116,734,USSAV/GCT,TE,E,20180126,406,USSAV/GCT,VE,E
AMFU2982786,20180126,406,USSAV/GCT,VE,E,20180310,2021,CNYTN/YTN,TE,E
AMFU2982786,20180310,2021,CNYTN/YTN,TE,E,20180417,504,CNYTN/CSP,OE,E
AMFU2982786,20180417,504,CNYTN/CSP,OE,E,20180417,743,CNYTN/CSP,TD,E
AMFU2982786,20180417,743,CNYTN/CSP,TD,E,20180426,0,CNYTN/CSP,TE,E
AMFU2982786,20180426,0,CNYTN/CSP,TE,E,20180503,456,CNYTN/CSP,SF,E
AMFU2982786,20180503,456,CNYTN/CSP,SF,E,20180503,1727,CNYTN/YTN,LF,F
AMFU2982786,20180503,1727,CNYTN/YTN,LF,F,20180505,1839,CNYTN/YTN,VF,F
AMFU2982786,20180505,1839,CNYTN/YTN,VF,F,20180508,2000,VNHPH/NHP,DF,F
AMFU2982786,20180508,2000,VNHPH/NHP,DF,F,20180523,1427,VNHPH/NHP,CF,F
AMFU2982786,20180523,1427,VNHPH/NHP,CF,F,20180523,2303,VNHPH/HHH,TE,E
AMFU2982786,20180523,2303,VNHPH/HHH,TE,E,20180526,926,VNHPH/TVU,OE,E
AMFU2982786,20180526,926,VNHPH/TVU,OE,E,20180526,1000,VNHPH/TVU,TE,E
AMFU2982786,20180526,1000,VNHPH/TVU,TE,E,20180526,1030,VNHPH/TVU,VE,E
AMFU2982786,20180526,1030,VNHPH/TVU,VE,E,20180528,14,CNYTN/YTN,TE,E
AMFU2982786,20180528,14,CNYTN/YTN,TE,E,20180528,1605,CNYTN/YTN,SF,E
AMFU2982786,20180528,1605,CNYTN/YTN,SF,E,20180529,431,CNSHK/SKU,LF,F
AMFU2982786,20180529,431,CNSHK/SKU,LF,F,20180603,1700,CNSHK/SKU,VF,F
AMFU2982786,20180603,1700,CNSHK/SKU,VF,F,20180607,1008,SGSIN/PSA,DF,F
AMFU2982786,20180607,1008,SGSIN/PSA,DF,F,20180607,1047,SGSIN/PSA,CF,F
AMFU2982786,20180607,1047,SGSIN/PSA,CF,F,20180608,1659,SGSIN/AC5,TD,E
AMFU2982786,20180608,1659,SGSIN/AC5,TD,E,20180612,1252,SGSIN/AC5,TE,E
AMFU2982786,20180612,1252,SGSIN/AC5,TE,E,20180614,947,SGSIN/AC5,SF,E
AMFU2982786,20180614,947,SGSIN/AC5,SF,E,20180616,1101,SGSIN/AC5,TE,E
AMFU2982786,20180616,1101,SGSIN/AC5,TE,E,20180703,855,MYPGU/PGD,OE,E
AMFU2982786,20180703,855,MYPGU/PGD,OE,E,20180703,1145,MYPGU/PGD,TD,E
