Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
CXSU1099392,20181106,0,INMUN/SMS,OH,E,20181106,1200,INMUN/SMS,SF,E
CXSU1099392,20181106,1200,INMUN/SMS,SF,E,20181107,1329,INMUN/CT3,LF,F
CXSU1099392,20181107,1329,INMUN/CT3,LF,F,20181110,1635,INMUN/CT3,VF,F
CXSU1099392,20181110,1635,INMUN/CT3,VF,F,20181112,148,PKKHI/SPT,DF,F
,,,,,,,,,,
CXSU1099880,20180108,309,AEDXB/JAT,DF,F,20180114,1840,AEDXB/JAT,VF,F
CXSU1099880,20180114,1840,AEDXB/JAT,VF,F,20180119,233,IQUQR/BGT,DF,F
CXSU1099880,20180119,233,IQUQR/BGT,DF,F,20180225,800,IQUQR/BGT,CF,F
CXSU1099880,20180225,800,IQUQR/BGT,CF,F,20180303,1500,IQUQR/BGT,TE,E
CXSU1099880,20180303,1500,IQUQR/BGT,TE,E,20180307,130,IQUQR/BGT,VE,E
CXSU1099880,20180307,130,IQUQR/BGT,VE,E,20180309,217,AEDXB/JAT,TE,E
CXSU1099880,20180309,217,AEDXB/JAT,TE,E,20180311,1951,AEDXB/JAT,SF,E
CXSU1099880,20180311,1951,AEDXB/JAT,SF,E,20180314,1149,AEDXB/JAT,LF,F
CXSU1099880,20180314,1149,AEDXB/JAT,LF,F,20180315,1024,AEDXB/JAT,VF,F
CXSU1099880,20180315,1024,AEDXB/JAT,VF,F,20180319,1944,PKKHI/KIT,DF,F
CXSU1099880,20180319,1944,PKKHI/KIT,DF,F,20180323,329,PKKHI/KIT,CF,F
CXSU1099880,20180323,329,PKKHI/KIT,CF,F,20180324,336,PKKHI/SPT,TE,E
CXSU1099880,20180324,336,PKKHI/SPT,TE,E,20180326,1200,PKKHI/SPT,VE,E
CXSU1099880,20180326,1200,PKKHI/SPT,VE,E,20180415,603,KRPUS/HNC,TE,E
CXSU1099880,20180415,603,KRPUS/HNC,TE,E,20180523,1600,KRPUS/HNC,SF,E
CXSU1099880,20180523,1600,KRPUS/HNC,SF,E,20180524,1709,KRPUS/HNC,LF,F
CXSU1099880,20180524,1709,KRPUS/HNC,LF,F,20180602,1727,KRPUS/HNC,VF,F
CXSU1099880,20180602,1727,KRPUS/HNC,VF,F,20180624,2250,AEDXB/JAT,DF,F
CXSU1099880,20180624,2250,AEDXB/JAT,DF,F,20180627,1712,AEDXB/JAT,VF,F
CXSU1099880,20180627,1712,AEDXB/JAT,VF,F,20180628,2348,AESHJ/SCT,DF,F
CXSU1099880,20180628,2348,AESHJ/SCT,DF,F,20180704,203,AESHJ/SCT,CF,F
CXSU1099880,20180704,203,AESHJ/SCT,CF,F,20180705,1107,AESHJ/SCT,TE,E
CXSU1099880,20180705,1107,AESHJ/SCT,TE,E,20180711,1659,AESHJ/SCT,VE,E
CXSU1099880,20180711,1659,AESHJ/SCT,VE,E,20180713,709,AEDXB/JAT,TE,E
CXSU1099880,20180713,709,AEDXB/JAT,TE,E,20180725,1451,AEDXB/JAT,VE,E
CXSU1099880,20180725,1451,AEDXB/JAT,VE,E,20180821,103,KRPUS/HNC,TE,E
CXSU1099880,20180821,103,KRPUS/HNC,TE,E,20180828,1647,KRPUS/HNC,TD,E
CXSU1099880,20180828,1647,KRPUS/HNC,TD,E,20181105,232,KRPUS/HNC,VE,E
CXSU1099880,20181105,232,KRPUS/HNC,VE,E,20181107,1235,CNSHA/YS1,TE,E
CXSU1099880,20181107,1235,CNSHA/YS1,TE,E,20181110,939,CNSHA/JHS,OE,E
CXSU1099880,20181110,939,CNSHA/JHS,OE,E,20181110,1147,CNSHA/JHS,TE,E
CXSU1099880,20181110,1147,CNSHA/JHS,TE,E,20181110,1148,CNSHA/JHS,TD,E
CXSU1099880,20181110,1148,CNSHA/JHS,TD,E,20181128,1626,CNSHA/JHS,TE,E
CXSU1099880,20181128,1626,CNSHA/JHS,TE,E,20181208,1241,CNSHA/JHS,SF,E
CXSU1099880,20181208,1241,CNSHA/JHS,SF,E,20181209,1207,CNSHA/WG1,LF,F
CXSU1099880,20181209,1207,CNSHA/WG1,LF,F,20181213,400,CNSHA/WG1,VF,F
CXSU1099880,20181213,400,CNSHA/WG1,VF,F,20181220,1636,SGSIN/PSA,DF,F
CXSU1099880,20181220,1636,SGSIN/PSA,DF,F,20181220,2021,SGSIN/PSA,CF,F
CXSU1099880,20181220,2021,SGSIN/PSA,CF,F,20181222,1404,SGSIN/AC5,TD,E
CXSU1099880,20181222,1404,SGSIN/AC5,TD,E,20181228,1540,SGSIN/AC5,TE,E
