Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
TLLU1087608,20180908,0,CNTAO/SJY,OH,E,20180908,1002,CNTAO/SJY,TE,E
TLLU1087608,20180908,1002,CNTAO/SJY,TE,E,20181030,1900,CNTAO/QCU,OE,E
TLLU1087608,20181030,1900,CNTAO/QCU,OE,E,20181030,1942,CNTAO/QCU,TE,E
TLLU1087608,20181030,1942,CNTAO/QCU,TE,E,20181101,856,CNTAO/QCU,VE,E
TLLU1087608,20181101,856,CNTAO/QCU,VE,E,20181104,1640,KRPUS/PNC,TE,E
TLLU1087608,20181104,1640,KRPUS/PNC,TE,E,20181113,914,KRPUS/PNC,VE,E
TLLU1087608,20181113,914,KRPUS/PNC,VE,E,20181202,147,MXZLO/SSA,TE,E
TLLU1087608,20181202,147,MXZLO/SSA,TE,E,20181211,1039,MXZLO/TIM,OE,E
TLLU1087608,20181211,1039,MXZLO/TIM,OE,E,20181211,1136,MXZLO/TIM,TE,E
TLLU1087608,20181211,1136,MXZLO/TIM,TE,E,20181211,1137,MXZLO/TIM,TD,E
,,,,,,,,,,
TLLU1087634,20180908,0,CNTAO/SJY,OH,E,20180908,1052,CNTAO/SJY,TE,E
TLLU1087634,20180908,1052,CNTAO/SJY,TE,E,20181022,1950,CNTAO/SJY,SF,E
TLLU1087634,20181022,1950,CNTAO/SJY,SF,E,20181023,2222,CNTAO/QCT,LF,F
TLLU1087634,20181023,2222,CNTAO/QCT,LF,F,20181026,1314,CNTAO/QCT,VF,F
TLLU1087634,20181026,1314,CNTAO/QCT,VF,F,20181122,38,USLAX/APM,DF,F
TLLU1087634,20181122,38,USLAX/APM,DF,F,20181123,1632,USLAX/APM,CF,F
TLLU1087634,20181123,1632,USLAX/APM,CF,F,20181127,1041,USLAX/APM,TE,E
,,,,,,,,,,
TLLU1087655,20180905,0,CNTAO/SJY,OH,E,20180905,1645,CNTAO/SJY,TE,E
TLLU1087655,20180905,1645,CNTAO/SJY,TE,E,20180917,847,CNTAO/SJY,SF,E
TLLU1087655,20180917,847,CNTAO/SJY,SF,E,20180917,1856,CNTAO/QCT,LF,F
TLLU1087655,20180917,1856,CNTAO/QCT,LF,F,20180921,449,CNTAO/QCT,VF,F
TLLU1087655,20180921,449,CNTAO/QCT,VF,F,20181017,1856,USLAX/APM,DF,F
TLLU1087655,20181017,1856,USLAX/APM,DF,F,20181018,2234,USLAX/APM,CF,F
TLLU1087655,20181018,2234,USLAX/APM,CF,F,20181020,807,USLGB/TTI,TE,E
TLLU1087655,20181020,807,USLGB/TTI,TE,E,20181025,2121,USLGB/TTI,VE,E
TLLU1087655,20181025,2121,USLGB/TTI,VE,E,20181028,1046,USOAK/SSA,TE,E
TLLU1087655,20181028,1046,USOAK/SSA,TE,E,20181116,1349,USOAK/SSA,SF,E
TLLU1087655,20181116,1349,USOAK/SSA,SF,E,20181121,47,USOAK/SSA,LF,F
TLLU1087655,20181121,47,USOAK/SSA,LF,F,20181126,2216,USOAK/SSA,VF,F
TLLU1087655,20181126,2216,USOAK/SSA,VF,F,20181210,124,KRPUS/HNC,DF,F
TLLU1087655,20181210,124,KRPUS/HNC,DF,F,20181213,1621,KRPUS/HNC,CF,F
TLLU1087655,20181213,1621,KRPUS/HNC,CF,F,20181214,1329,KRINC/ICT,TE,E
TLLU1087655,20181214,1329,KRINC/ICT,TE,E,20181217,1048,KRINC/ICT,SF,E
TLLU1087655,20181217,1048,KRINC/ICT,SF,E,20181217,1613,KRINC/ICT,LF,F
TLLU1087655,20181217,1613,KRINC/ICT,LF,F,20181219,628,KRINC/ICT,VF,F
TLLU1087655,20181219,628,KRINC/ICT,VF,F,20181226,730,VNHPH/DVT,DF,F
TLLU1087655,20181226,730,VNHPH/DVT,DF,F,20181227,1532,VNHPH/DVT,CF,F
TLLU1087655,20181227,1532,VNHPH/DVT,CF,F,20181227,1647,VNHPH/JVD,TE,E
TLLU1087655,20181227,1647,VNHPH/JVD,TE,E,20181231,431,VNHPH/TVU,OE,E
TLLU1087655,20181231,431,VNHPH/TVU,OE,E,20181231,500,VNHPH/TVU,TE,E
TLLU1087655,20181231,500,VNHPH/TVU,TE,E,20181231,530,VNHPH/TVU,VE,E
,,,,,,,,,,
TLLU1087660,20180908,0,CNTAO/SJY,OH,E,20180908,1319,CNTAO/SJY,TE,E
TLLU1087660,20180908,1319,CNTAO/SJY,TE,E,20180925,917,CNTAO/SJY,SF,E
TLLU1087660,20180925,917,CNTAO/SJY,SF,E,20180927,712,CNTAO/QCT,LF,F
TLLU1087660,20180927,712,CNTAO/QCT,LF,F,20180928,1212,CNTAO/QCT,VF,F
TLLU1087660,20180928,1212,CNTAO/QCT,VF,F,20181026,2012,USLAX/APM,DF,F
TLLU1087660,20181026,2012,USLAX/APM,DF,F,20181102,1607,USLAX/BNS,OI,F
TLLU1087660,20181102,1607,USLAX/BNS,OI,F,20181102,1610,USLAX/BNS,TI,F
TLLU1087660,20181102,1610,USLAX/BNS,TI,F,20181102,2020,USCHI/BNL,OI,F
TLLU1087660,20181102,2020,USCHI/BNL,OI,F,20181105,2238,USCHI/BNL,TI,F
TLLU1087660,20181105,2238,USCHI/BNL,TI,F,20181106,2342,USCHI/BNL,TI,F
TLLU1087660,20181106,2342,USCHI/BNL,TI,F,20181109,756,USCHI/BNL,CF,F
TLLU1087660,20181109,756,USCHI/BNL,CF,F,20181109,1401,USCHI/CGD,TE,E
TLLU1087660,20181109,1401,USCHI/CGD,TE,E,20181109,1402,USCHI/CGD,TD,E
TLLU1087660,20181109,1402,USCHI/CGD,TD,E,20181112,1707,USCHI/CGD,SF,E
TLLU1087660,20181112,1707,USCHI/CGD,SF,E,20181114,809,USCHI/BNL,TX,F
TLLU1087660,20181114,809,USCHI/BNL,TX,F,20181115,251,USLGB/BNS,OX,F
TLLU1087660,20181115,251,USLGB/BNS,OX,F,20181118,900,USLGB/BNS,TX,F
TLLU1087660,20181118,900,USLGB/BNS,TX,F,20181118,903,USLGB/BNS,TX,F
TLLU1087660,20181118,903,USLGB/BNS,TX,F,20181118,1741,USLGB/TTI,OX,F
TLLU1087660,20181118,1741,USLGB/TTI,OX,F,20181118,1742,USLGB/TTI,LF,F
TLLU1087660,20181118,1742,USLGB/TTI,LF,F,20181123,1346,USLGB/TTI,VF,F
TLLU1087660,20181123,1346,USLGB/TTI,VF,F,20181213,553,TWKHH/118,DF,F
TLLU1087660,20181213,553,TWKHH/118,DF,F,20181214,2307,TWKHH/118,VF,F
TLLU1087660,20181214,2307,TWKHH/118,VF,F,20181216,646,HKHKG/HIT,DF,F
TLLU1087660,20181216,646,HKHKG/HIT,DF,F,20181220,1006,HKHKG/HIT,CF,F
TLLU1087660,20181220,1006,HKHKG/HIT,CF,F,20181221,1559,HKHKG/CSB,TD,E
TLLU1087660,20181221,1559,HKHKG/CSB,TD,E,20181222,0,HKHKG/CSB,TE,E
TLLU1087660,20181222,0,HKHKG/CSB,TE,E,20181227,1226,HKHKG/HIT,OE,E
TLLU1087660,20181227,1226,HKHKG/HIT,OE,E,20181227,1402,HKHKG/HIT,TE,E
,,,,,,,,,,
TLLU1087676,20180908,0,CNTAO/SJY,OH,E,20180908,1125,CNTAO/SJY,TE,E
TLLU1087676,20180908,1125,CNTAO/SJY,TE,E,20180929,800,CNTAO/QCU,OE,E
TLLU1087676,20180929,800,CNTAO/QCU,OE,E,20180930,1136,CNTAO/QCU,TE,E
TLLU1087676,20180930,1136,CNTAO/QCU,TE,E,20181004,1405,CNTAO/QCU,VE,E
TLLU1087676,20181004,1405,CNTAO/QCU,VE,E,20181007,1450,KRPUS/PNC,TE,E
TLLU1087676,20181007,1450,KRPUS/PNC,TE,E,20181015,1618,KRPUS/PNC,VE,E
TLLU1087676,20181015,1618,KRPUS/PNC,VE,E,20181103,1655,MXZLO/SSA,TE,E
