Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
CICU8270755,20180409,0,CNTXG/UNK,OH,E,20180409,1,CNTXG/THC,SF,E
CICU8270755,20180409,1,CNTXG/THC,SF,E,20180411,1037,CNTXG/THC,LF,F
CICU8270755,20180411,1037,CNTXG/THC,LF,F,20180416,730,CNTXG/THC,VF,F
CICU8270755,20180416,730,CNTXG/THC,VF,F,20180419,1307,KRPUS/HNC,DF,F
CICU8270755,20180419,1307,KRPUS/HNC,DF,F,20180421,315,KRPUS/PHC,OI,F
CICU8270755,20180421,315,KRPUS/PHC,OI,F,20180421,344,KRPUS/PHC,LF,F
CICU8270755,20180421,344,KRPUS/PHC,LF,F,20180505,2245,KRPUS/PHC,VF,F
CICU8270755,20180505,2245,KRPUS/PHC,VF,F,20180511,2131,UEVVO/VLA,DF,F
CICU8270755,20180511,2131,UEVVO/VLA,DF,F,20180517,1853,UEVVO/VLA,CF,F
,,,,,,,,,,
CICU8270760,20180409,0,CNTXG/UNK,OH,E,20180409,1,CNTXG/THC,SF,E
CICU8270760,20180409,1,CNTXG/THC,SF,E,20180411,1037,CNTXG/THC,LF,F
CICU8270760,20180411,1037,CNTXG/THC,LF,F,20180416,730,CNTXG/THC,VF,F
CICU8270760,20180416,730,CNTXG/THC,VF,F,20180419,1307,KRPUS/HNC,DF,F
CICU8270760,20180419,1307,KRPUS/HNC,DF,F,20180421,315,KRPUS/PHC,OI,F
CICU8270760,20180421,315,KRPUS/PHC,OI,F,20180421,344,KRPUS/PHC,LF,F
CICU8270760,20180421,344,KRPUS/PHC,LF,F,20180505,2245,KRPUS/PHC,VF,F
CICU8270760,20180505,2245,KRPUS/PHC,VF,F,20180511,2120,UEVVO/VLA,DF,F
CICU8270760,20180511,2120,UEVVO/VLA,DF,F,20180517,1854,UEVVO/VLA,CF,F
,,,,,,,,,,
CRLU3154401,20180510,0,SGSIN/UNK,OH,E,20180513,1932,SGSIN/PSA,TE,E
CRLU3154401,20180513,1932,SGSIN/PSA,TE,E,20180515,619,SGSIN/PSA,VE,E
CRLU3154401,20180515,619,SGSIN/PSA,VE,E,20180522,2400,INNSA/NDN,FH,E
CRLU3154401,20180522,2400,INNSA/NDN,FH,E,20180522,1000,INNSA/NSA,TE,E
,,,,,,,,,,
CRLU3172560,20180510,0,SGSIN/UNK,OH,E,20180513,1932,SGSIN/PSA,TE,E
CRLU3172560,20180513,1932,SGSIN/PSA,TE,E,20180515,619,SGSIN/PSA,VE,E
CRLU3172560,20180515,619,SGSIN/PSA,VE,E,20180522,2400,INNSA/NDN,FH,E
CRLU3172560,20180522,2400,INNSA/NDN,FH,E,20180522,1000,INNSA/NSA,TE,E
,,,,,,,,,,
