Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
CRLU1355990,20180511,0,SGSIN/UNK,OH,E,20180513,1508,SGSIN/PSA,TE,E
CRLU1355990,20180513,1508,SGSIN/PSA,TE,E,20180515,1047,SGSIN/PSA,VE,E
CRLU1355990,20180515,1047,SGSIN/PSA,VE,E,20180522,2400,INNSA/NDN,FH,E
CRLU1355990,20180522,2400,INNSA/NDN,FH,E,20180522,1000,INNSA/NSA,TE,E
,,,,,,,,,,
CRLU1356039,20180510,0,SGSIN/UNK,OH,E,20180513,1334,SGSIN/PSA,TE,E
CRLU1356039,20180513,1334,SGSIN/PSA,TE,E,20180515,1112,SGSIN/PSA,VE,E
CRLU1356039,20180515,1112,SGSIN/PSA,VE,E,20180522,2400,INNSA/NDN,FH,E
CRLU1356039,20180522,2400,INNSA/NDN,FH,E,20180522,1000,INNSA/NSA,TE,E
,,,,,,,,,,
CRLU1372533,20180510,0,SGSIN/UNK,OH,E,20180513,1638,SGSIN/PSA,TE,E
CRLU1372533,20180513,1638,SGSIN/PSA,TE,E,20180515,1039,SGSIN/PSA,VE,E
CRLU1372533,20180515,1039,SGSIN/PSA,VE,E,20180522,2400,INNSA/NDN,FH,E
CRLU1372533,20180522,2400,INNSA/NDN,FH,E,20180522,1000,INNSA/NSA,TE,E
,,,,,,,,,,
CRLU7273950,20180510,0,SGSIN/UNK,OH,E,20180514,1720,SGSIN/PSA,TE,E
CRLU7273950,20180514,1720,SGSIN/PSA,TE,E,20180515,1059,SGSIN/PSA,VE,E
CRLU7273950,20180515,1059,SGSIN/PSA,VE,E,20180522,2400,INNSA/NDN,FH,E
CRLU7273950,20180522,2400,INNSA/NDN,FH,E,20180522,1000,INNSA/NSA,TE,E
,,,,,,,,,,
HLXU6746914,20180601,0,SGSIN/UNK,OH,E,20180606,1850,SGSIN/PSA,TE,E
HLXU6746914,20180606,1850,SGSIN/PSA,TE,E,20180607,1303,SGSIN/PSA,VE,E
HLXU6746914,20180607,1303,SGSIN/PSA,VE,E,20180614,2400,INNSA/NDN,FH,E
HLXU6746914,20180614,2400,INNSA/NDN,FH,E,20180614,500,INNSA/BMC,TE,E
,,,,,,,,,,
