Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
ARAU1400018,20180110,1600,USLAX/UNK,OH,E,20180110,1601,USLAX/UNK,SF,E
ARAU1400018,20180110,1601,USLAX/UNK,SF,E,20180111,1231,USLGB/TTI,LF,F
ARAU1400018,20180111,1231,USLGB/TTI,LF,F,20180113,1023,USLGB/TTI,VF,F
ARAU1400018,20180113,1023,USLGB/TTI,VF,F,20180131,1159,KRPUS/HNC,DF,F
ARAU1400018,20180131,1159,KRPUS/HNC,DF,F,20180207,946,KRPUS/HNC,CF,F
ARAU1400018,20180207,946,KRPUS/HNC,CF,F,20180207,956,KRPUS/UNK,FH,E
ARAU1400018,20180207,956,KRPUS/UNK,FH,E,20180208,0,KRPUS/UNK,OH,E
ARAU1400018,20180208,0,KRPUS/UNK,OH,E,20180208,1000,KRPUS/UNK,SF,E
ARAU1400018,20180208,1000,KRPUS/UNK,SF,E,20180215,928,KRPUS/HNC,LF,F
ARAU1400018,20180215,928,KRPUS/HNC,LF,F,20180217,1637,KRPUS/HNC,VF,F
ARAU1400018,20180217,1637,KRPUS/HNC,VF,F,20180228,1044,USLAX/APM,DF,F
ARAU1400018,20180228,1044,USLAX/APM,DF,F,20180228,1423,USLAX/APM,CF,F
ARAU1400018,20180228,1423,USLAX/APM,CF,F,20180228,1424,USLAX/UNK,FH,E
ARAU1400018,20180228,1424,USLAX/UNK,FH,E,20180320,1013,USLAX/UNK,OH,E
ARAU1400018,20180320,1013,USLAX/UNK,OH,E,20180320,1014,USLAX/UNK,SF,E
ARAU1400018,20180320,1014,USLAX/UNK,SF,E,20180326,1832,USLAX/APM,LF,F
ARAU1400018,20180326,1832,USLAX/APM,LF,F,20180328,1237,USLAX/APM,VF,F
ARAU1400018,20180328,1237,USLAX/APM,VF,F,20180414,1155,KRPUS/HNC,DF,F
ARAU1400018,20180414,1155,KRPUS/HNC,DF,F,20180430,2116,KRPUS/HNC,CF,F
ARAU1400018,20180430,2116,KRPUS/HNC,CF,F,20180430,2126,KRPUS/UNK,FH,E
ARAU1400018,20180430,2126,KRPUS/UNK,FH,E,20180501,0,KRPUS/UNK,OH,E
ARAU1400018,20180501,0,KRPUS/UNK,OH,E,20180501,1000,KRPUS/UNK,SF,E
ARAU1400018,20180501,1000,KRPUS/UNK,SF,E,20180510,938,KRPUS/HNC,LF,F
ARAU1400018,20180510,938,KRPUS/HNC,LF,F,20180510,2339,KRPUS/HNC,VF,F
ARAU1400018,20180510,2339,KRPUS/HNC,VF,F,20180521,2002,USLAX/APM,DF,F
ARAU1400018,20180521,2002,USLAX/APM,DF,F,20180522,1130,USLAX/APM,CF,F
ARAU1400018,20180522,1130,USLAX/APM,CF,F,20180522,1131,USLAX/UNK,FH,E
ARAU1400018,20180522,1131,USLAX/UNK,FH,E,20180529,800,USLAX/UNK,OH,E
ARAU1400018,20180529,800,USLAX/UNK,OH,E,20180529,801,USLAX/UNK,SF,E
ARAU1400018,20180529,801,USLAX/UNK,SF,E,20180530,1106,USLAX/APM,LF,F
ARAU1400018,20180530,1106,USLAX/APM,LF,F,20180607,1526,USLAX/APM,VF,F
ARAU1400018,20180607,1526,USLAX/APM,VF,F,20180622,1354,KRPUS/HNC,DF,F
ARAU1400018,20180622,1354,KRPUS/HNC,DF,F,20180627,1426,KRPUS/HNC,CF,F
ARAU1400018,20180627,1426,KRPUS/HNC,CF,F,20180627,1436,KRPUS/UNK,FH,E
ARAU1400018,20180627,1436,KRPUS/UNK,FH,E,20180628,0,KRPUS/UNK,OH,E
ARAU1400018,20180628,0,KRPUS/UNK,OH,E,20180628,1000,KRPUS/UNK,SF,E
ARAU1400018,20180628,1000,KRPUS/UNK,SF,E,20180705,944,KRPUS/HNC,LF,F
ARAU1400018,20180705,944,KRPUS/HNC,LF,F,20180706,917,KRPUS/HNC,VF,F
ARAU1400018,20180706,917,KRPUS/HNC,VF,F,20180717,145,USLAX/APM,DF,F
ARAU1400018,20180717,145,USLAX/APM,DF,F,20180717,2011,USLAX/APM,CF,F
ARAU1400018,20180717,2011,USLAX/APM,CF,F,20180717,2012,USLAX/UNK,FH,E
ARAU1400018,20180717,2012,USLAX/UNK,FH,E,20180727,800,USLAX/UNK,OH,E
ARAU1400018,20180727,800,USLAX/UNK,OH,E,20180727,801,USLAX/UNK,SF,E
ARAU1400018,20180727,801,USLAX/UNK,SF,E,20180731,1205,USLAX/APM,LF,F
ARAU1400018,20180731,1205,USLAX/APM,LF,F,20180805,1447,USLAX/APM,VF,F
ARAU1400018,20180805,1447,USLAX/APM,VF,F,20180828,621,KRPUS/HNC,DF,F
ARAU1400018,20180828,621,KRPUS/HNC,DF,F,20180919,1802,KRPUS/HNC,CF,F
ARAU1400018,20180919,1802,KRPUS/HNC,CF,F,20180919,1812,KRPUS/UNK,FH,E
ARAU1400018,20180919,1812,KRPUS/UNK,FH,E,20180920,0,KRPUS/UNK,OH,E
ARAU1400018,20180920,0,KRPUS/UNK,OH,E,20180920,1000,KRPUS/UNK,SF,E
ARAU1400018,20180920,1000,KRPUS/UNK,SF,E,20181004,1546,KRPUS/HNC,LF,F
ARAU1400018,20181004,1546,KRPUS/HNC,LF,F,20181005,1133,KRPUS/HNC,VF,F
ARAU1400018,20181005,1133,KRPUS/HNC,VF,F,20181017,2027,USLGB/TTI,DF,F
ARAU1400018,20181017,2027,USLGB/TTI,DF,F,20181018,1507,USLGB/TTI,CF,F
ARAU1400018,20181018,1507,USLGB/TTI,CF,F,20181018,1508,USLGB/UNK,FH,E
ARAU1400018,20181018,1508,USLGB/UNK,FH,E,20181029,1500,USLAX/UNK,OH,E
ARAU1400018,20181029,1500,USLAX/UNK,OH,E,20181029,1501,USLAX/UNK,SF,E
ARAU1400018,20181029,1501,USLAX/UNK,SF,E,20181030,944,USLAX/APM,LF,F
ARAU1400018,20181030,944,USLAX/APM,LF,F,20181104,1023,USLAX/APM,VF,F
ARAU1400018,20181104,1023,USLAX/APM,VF,F,20181123,948,KRPUS/HNC,DF,F
ARAU1400018,20181123,948,KRPUS/HNC,DF,F,20181129,1529,KRPUS/HNC,CF,F
ARAU1400018,20181129,1529,KRPUS/HNC,CF,F,20181129,1539,KRPUS/UNK,FH,E
,,,,,,,,,,
ARAU1500059,20180124,0,KRPUS/UNK,OH,E,20180124,100,KRPUS/UNK,SF,E
ARAU1500059,20180124,100,KRPUS/UNK,SF,E,20180209,1643,KRPUS/HNC,LF,F
ARAU1500059,20180209,1643,KRPUS/HNC,LF,F,20180211,614,KRPUS/HNC,VF,F
ARAU1500059,20180211,614,KRPUS/HNC,VF,F,20180227,2400,CAVAN/UNK,FH,E
ARAU1500059,20180227,2400,CAVAN/UNK,FH,E,20180227,1748,CAVAN/VNT,DF,F
ARAU1500059,20180227,1748,CAVAN/VNT,DF,F,20180227,2248,CAVAN/VNT,CF,F
ARAU1500059,20180227,2248,CAVAN/VNT,CF,F,20180309,927,CAVAN/UNK,OH,E
ARAU1500059,20180309,927,CAVAN/UNK,OH,E,20180309,928,CAVAN/UNK,SF,E
ARAU1500059,20180309,928,CAVAN/UNK,SF,E,20180309,1131,CAVAN/VNT,LF,F
ARAU1500059,20180309,1131,CAVAN/VNT,LF,F,20180314,402,CAVAN/VNT,VF,F
ARAU1500059,20180314,402,CAVAN/VNT,VF,F,20180329,533,KRPUS/HNC,DF,F
ARAU1500059,20180329,533,KRPUS/HNC,DF,F,20180417,1111,KRPUS/HNC,CF,F
ARAU1500059,20180417,1111,KRPUS/HNC,CF,F,20180417,1121,KRPUS/UNK,FH,E
ARAU1500059,20180417,1121,KRPUS/UNK,FH,E,20180418,0,KRPUS/UNK,OH,E
ARAU1500059,20180418,0,KRPUS/UNK,OH,E,20180418,100,KRPUS/UNK,SF,E
ARAU1500059,20180418,100,KRPUS/UNK,SF,E,20180504,1628,KRPUS/HNC,LF,F
ARAU1500059,20180504,1628,KRPUS/HNC,LF,F,20180505,1125,KRPUS/HNC,VF,F
ARAU1500059,20180505,1125,KRPUS/HNC,VF,F,20180518,856,CAVAN/VNT,DF,F
ARAU1500059,20180518,856,CAVAN/VNT,DF,F,20180518,1019,CAVAN/VNT,CF,F
ARAU1500059,20180518,1019,CAVAN/VNT,CF,F,20180518,1600,CAVAN/UNK,FH,E
ARAU1500059,20180518,1600,CAVAN/UNK,FH,E,20180530,1303,CAVAN/UNK,OH,E
ARAU1500059,20180530,1303,CAVAN/UNK,OH,E,20180530,1304,CAVAN/UNK,SF,E
ARAU1500059,20180530,1304,CAVAN/UNK,SF,E,20180531,1515,CAVAN/VNT,LF,F
ARAU1500059,20180531,1515,CAVAN/VNT,LF,F,20180602,2356,CAVAN/VNT,VF,F
ARAU1500059,20180602,2356,CAVAN/VNT,VF,F,20180617,2233,KRPUS/HNC,DF,F
ARAU1500059,20180617,2233,KRPUS/HNC,DF,F,20180704,825,KRPUS/HNC,CF,F
ARAU1500059,20180704,825,KRPUS/HNC,CF,F,20180704,835,KRPUS/UNK,FH,E
ARAU1500059,20180704,835,KRPUS/UNK,FH,E,20180910,0,KRPUS/UNK,OH,E
ARAU1500059,20180910,0,KRPUS/UNK,OH,E,20180910,1000,KRPUS/UNK,SF,E
ARAU1500059,20180910,1000,KRPUS/UNK,SF,E,20180927,1208,KRPUS/HNC,LF,F
ARAU1500059,20180927,1208,KRPUS/HNC,LF,F,20180928,903,KRPUS/HNC,VF,F
ARAU1500059,20180928,903,KRPUS/HNC,VF,F,20181009,1132,USLGB/TTI,DF,F
ARAU1500059,20181009,1132,USLGB/TTI,DF,F,20181009,1623,USLGB/TTI,CF,F
ARAU1500059,20181009,1623,USLGB/TTI,CF,F,20181009,1624,USLGB/UNK,FH,E
ARAU1500059,20181009,1624,USLGB/UNK,FH,E,20181023,947,USLGB/UNK,OH,E
ARAU1500059,20181023,947,USLGB/UNK,OH,E,20181023,948,USLGB/UNK,SF,E
ARAU1500059,20181023,948,USLGB/UNK,SF,E,20181025,1456,USLGB/TTI,LF,F
ARAU1500059,20181025,1456,USLGB/TTI,LF,F,20181101,1641,USLGB/TTI,VF,F
ARAU1500059,20181101,1641,USLGB/TTI,VF,F,20181119,50,KRPUS/HNC,DF,F
ARAU1500059,20181119,50,KRPUS/HNC,DF,F,20181204,1338,KRPUS/HNC,CF,F
ARAU1500059,20181204,1338,KRPUS/HNC,CF,F,20181204,1348,KRPUS/UNK,FH,E
,,,,,,,,,,
ARAU1500070,20180102,1137,USLGB/TTI,LF,F,20180106,105,USLGB/TTI,VF,F
ARAU1500070,20180106,105,USLGB/TTI,VF,F,20180124,1451,KRPUS/HNC,DF,F
ARAU1500070,20180124,1451,KRPUS/HNC,DF,F,20180125,448,KRPUS/HNC,CF,F
ARAU1500070,20180125,448,KRPUS/HNC,CF,F,20180125,458,KRPUS/UNK,FH,E
ARAU1500070,20180125,458,KRPUS/UNK,FH,E,20180126,0,KRPUS/UNK,OH,E
ARAU1500070,20180126,0,KRPUS/UNK,OH,E,20180126,1000,KRPUS/UNK,SF,E
ARAU1500070,20180126,1000,KRPUS/UNK,SF,E,20180201,954,KRPUS/HNC,LF,F
ARAU1500070,20180201,954,KRPUS/HNC,LF,F,20180202,730,KRPUS/HNC,VF,F
ARAU1500070,20180202,730,KRPUS/HNC,VF,F,20180213,937,USLAX/APM,DF,F
ARAU1500070,20180213,937,USLAX/APM,DF,F,20180213,1920,USLAX/APM,CF,F
ARAU1500070,20180213,1920,USLAX/APM,CF,F,20180213,1921,USLAX/UNK,FH,E
ARAU1500070,20180213,1921,USLAX/UNK,FH,E,20180219,1417,USLGB/UNK,OH,E
ARAU1500070,20180219,1417,USLGB/UNK,OH,E,20180219,1418,USLGB/UNK,SF,E
ARAU1500070,20180219,1418,USLGB/UNK,SF,E,20180227,1602,USLAX/APM,LF,F
ARAU1500070,20180227,1602,USLAX/APM,LF,F,20180301,1359,USLAX/APM,VF,F
ARAU1500070,20180301,1359,USLAX/APM,VF,F,20180318,105,KRPUS/HNC,DF,F
ARAU1500070,20180318,105,KRPUS/HNC,DF,F,20180319,538,KRPUS/HNC,CF,F
ARAU1500070,20180319,538,KRPUS/HNC,CF,F,20180319,548,KRPUS/UNK,FH,E
ARAU1500070,20180319,548,KRPUS/UNK,FH,E,20180320,0,KRPUS/UNK,OH,E
ARAU1500070,20180320,0,KRPUS/UNK,OH,E,20180320,100,KRPUS/UNK,SF,E
ARAU1500070,20180320,100,KRPUS/UNK,SF,E,20180405,956,KRPUS/HNC,LF,F
ARAU1500070,20180405,956,KRPUS/HNC,LF,F,20180405,2313,KRPUS/HNC,VF,F
ARAU1500070,20180405,2313,KRPUS/HNC,VF,F,20180417,854,USLAX/APM,DF,F
ARAU1500070,20180417,854,USLAX/APM,DF,F,20180417,1405,USLAX/APM,CF,F
ARAU1500070,20180417,1405,USLAX/APM,CF,F,20180417,1406,USLAX/UNK,FH,E
ARAU1500070,20180417,1406,USLAX/UNK,FH,E,20180426,1200,USLGB/UNK,OH,E
ARAU1500070,20180426,1200,USLGB/UNK,OH,E,20180426,1201,USLGB/UNK,SF,E
ARAU1500070,20180426,1201,USLGB/UNK,SF,E,20180510,1116,USLGB/TTI,LF,F
ARAU1500070,20180510,1116,USLGB/TTI,LF,F,20180513,2059,USLGB/TTI,VF,F
ARAU1500070,20180513,2059,USLGB/TTI,VF,F,20180530,1205,KRPUS/HNC,DF,F
ARAU1500070,20180530,1205,KRPUS/HNC,DF,F,20180530,1506,KRPUS/HNC,CF,F
ARAU1500070,20180530,1506,KRPUS/HNC,CF,F,20180530,1516,KRPUS/UNK,FH,E
ARAU1500070,20180530,1516,KRPUS/UNK,FH,E,20180601,0,KRPUS/UNK,OH,E
ARAU1500070,20180601,0,KRPUS/UNK,OH,E,20180601,1000,KRPUS/UNK,SF,E
ARAU1500070,20180601,1000,KRPUS/UNK,SF,E,20180614,1026,KRPUS/HNC,LF,F
ARAU1500070,20180614,1026,KRPUS/HNC,LF,F,20180615,126,KRPUS/HNC,VF,F
ARAU1500070,20180615,126,KRPUS/HNC,VF,F,20180625,2025,USLAX/APM,DF,F
ARAU1500070,20180625,2025,USLAX/APM,DF,F,20180626,1748,USLAX/APM,CF,F
ARAU1500070,20180626,1748,USLAX/APM,CF,F,20180626,1749,USLAX/UNK,FH,E
