Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
OOLU3940264,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
OOLU3940264,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
OOLU3940264,20180909,850,BDCGP/CPA,VE,E,20180913,2339,SGSIN/PSA,TE,E
OOLU3940264,20180913,2339,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
OOLU3961924,20180116,0,BDCGP/CPA,OH,E,20180122,0,BDCGP/CPA,TE,E
OOLU3961924,20180122,0,BDCGP/CPA,TE,E,20180122,1430,BDCGP/CPA,VE,E
OOLU3961924,20180122,1430,BDCGP/CPA,VE,E,20180126,900,SGSIN/PSA,TE,E
OOLU3961924,20180126,900,SGSIN/PSA,TE,E,20180130,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
PCMU0000101,20181115,0,HKHKG/UNK,OH,E,20181124,1753,HKHKG/HIT,LF,F
PCMU0000101,20181124,1753,HKHKG/HIT,LF,F,20181130,2059,HKHKG/HIT,VF,F
PCMU0000101,20181130,2059,HKHKG/HIT,VF,F,20181201,2246,CNYTN/YTN,DF,F
PCMU0000101,20181201,2246,CNYTN/YTN,DF,F,20181202,2111,CNYTN/YTN,VF,F
,,,,,,,,,,
