Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
AMCU9287656,20180513,0,BDCGP/CPA,OH,E,20180524,0,BDCGP/CPA,TE,E
AMCU9287656,20180524,0,BDCGP/CPA,TE,E,20180524,1555,BDCGP/CPA,VE,E
AMCU9287656,20180524,1555,BDCGP/CPA,VE,E,20180528,2357,SGSIN/PSA,TE,E
AMCU9287656,20180528,2357,SGSIN/PSA,TE,E,20180531,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
APRU5703471,20180513,0,BDCGP/CPA,OH,E,20180524,0,BDCGP/CPA,TE,E
APRU5703471,20180524,0,BDCGP/CPA,TE,E,20180524,1555,BDCGP/CPA,VE,E
APRU5703471,20180524,1555,BDCGP/CPA,VE,E,20180529,8,SGSIN/PSA,TE,E
APRU5703471,20180529,8,SGSIN/PSA,TE,E,20180610,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
APRU5735910,20180513,0,BDCGP/CPA,OH,E,20180524,0,BDCGP/CPA,TE,E
APRU5735910,20180524,0,BDCGP/CPA,TE,E,20180524,1555,BDCGP/CPA,VE,E
APRU5735910,20180524,1555,BDCGP/CPA,VE,E,20180529,58,SGSIN/PSA,TE,E
APRU5735910,20180529,58,SGSIN/PSA,TE,E,20180610,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
APRU5804543,20180513,0,BDCGP/CPA,OH,E,20180524,0,BDCGP/CPA,TE,E
APRU5804543,20180524,0,BDCGP/CPA,TE,E,20180524,1555,BDCGP/CPA,VE,E
APRU5804543,20180524,1555,BDCGP/CPA,VE,E,20180529,112,SGSIN/PSA,TE,E
APRU5804543,20180529,112,SGSIN/PSA,TE,E,20180610,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
APRU6106193,20180513,0,BDCGP/CPA,OH,E,20180524,0,BDCGP/CPA,TE,E
APRU6106193,20180524,0,BDCGP/CPA,TE,E,20180524,1555,BDCGP/CPA,VE,E
APRU6106193,20180524,1555,BDCGP/CPA,VE,E,20180529,114,SGSIN/PSA,TE,E
APRU6106193,20180529,114,SGSIN/PSA,TE,E,20180610,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CGMU5193327,20180513,0,BDCGP/CPA,OH,E,20180524,0,BDCGP/CPA,TE,E
CGMU5193327,20180524,0,BDCGP/CPA,TE,E,20180524,1555,BDCGP/CPA,VE,E
CGMU5193327,20180524,1555,BDCGP/CPA,VE,E,20180529,56,SGSIN/PSA,TE,E
CGMU5193327,20180529,56,SGSIN/PSA,TE,E,20180610,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
CRLU1271564,20180423,0,BDCGP/CPA,OH,E,20180501,0,BDCGP/CPA,TE,E
CRLU1271564,20180501,0,BDCGP/CPA,TE,E,20180501,1020,BDCGP/CPA,VE,E
CRLU1271564,20180501,1020,BDCGP/CPA,VE,E,20180505,900,SGSIN/PSA,TE,E
CRLU1271564,20180505,900,SGSIN/PSA,TE,E,20180520,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
DFOU6146080,20180513,0,BDCGP/CPA,OH,E,20180524,0,BDCGP/CPA,TE,E
DFOU6146080,20180524,0,BDCGP/CPA,TE,E,20180524,1555,BDCGP/CPA,VE,E
DFOU6146080,20180524,1555,BDCGP/CPA,VE,E,20180528,2358,SGSIN/PSA,TE,E
DFOU6146080,20180528,2358,SGSIN/PSA,TE,E,20180531,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
EGHU5002919,20180413,0,BDCGP/CPA,OH,E,20180419,0,BDCGP/CPA,TE,E
EGHU5002919,20180419,0,BDCGP/CPA,TE,E,20180419,1400,BDCGP/CPA,VE,E
EGHU5002919,20180419,1400,BDCGP/CPA,VE,E,20180424,145,SGSIN/PSA,TE,E
EGHU5002919,20180424,145,SGSIN/PSA,TE,E,20180425,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
EMCU5289300,20180413,0,BDCGP/CPA,OH,E,20180419,0,BDCGP/CPA,TE,E
EMCU5289300,20180419,0,BDCGP/CPA,TE,E,20180419,1400,BDCGP/CPA,VE,E
EMCU5289300,20180419,1400,BDCGP/CPA,VE,E,20180424,123,SGSIN/PSA,TE,E
EMCU5289300,20180424,123,SGSIN/PSA,TE,E,20180425,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
GESU9511480,20180319,0,BDCGP/CPA,OH,E,20180325,0,BDCGP/CPA,TE,E
GESU9511480,20180325,0,BDCGP/CPA,TE,E,20180325,1420,BDCGP/CPA,VE,E
GESU9511480,20180325,1420,BDCGP/CPA,VE,E,20180405,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
JXLU5106309,20180116,0,BDCGP/CPA,OH,E,20180122,0,BDCGP/CPA,TE,E
JXLU5106309,20180122,0,BDCGP/CPA,TE,E,20180122,1430,BDCGP/CPA,VE,E
JXLU5106309,20180122,1430,BDCGP/CPA,VE,E,20180126,900,SGSIN/PSA,TE,E
JXLU5106309,20180126,900,SGSIN/PSA,TE,E,20180130,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
JXLU5811058,20180130,0,BDCGP/CPA,OH,E,20180206,0,BDCGP/CPA,TE,E
JXLU5811058,20180206,0,BDCGP/CPA,TE,E,20180206,1315,BDCGP/CPA,VE,E
JXLU5811058,20180206,1315,BDCGP/CPA,VE,E,20180210,1207,SGSIN/PSA,TE,E
JXLU5811058,20180210,1207,SGSIN/PSA,TE,E,20180211,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
JXLU5840879,20180130,0,BDCGP/CPA,OH,E,20180206,0,BDCGP/CPA,TE,E
JXLU5840879,20180206,0,BDCGP/CPA,TE,E,20180206,1315,BDCGP/CPA,VE,E
JXLU5840879,20180206,1315,BDCGP/CPA,VE,E,20180210,1204,SGSIN/PSA,TE,E
JXLU5840879,20180210,1204,SGSIN/PSA,TE,E,20180211,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
MNBU0017033,20180514,0,BDCGP/CPA,OH,E,20180517,0,BDCGP/CPA,TE,E
MNBU0017033,20180517,0,BDCGP/CPA,TE,E,20180517,2325,BDCGP/CPA,VE,E
MNBU0017033,20180517,2325,BDCGP/CPA,VE,E,20180522,900,SGSIN/PSA,TE,E
MNBU0017033,20180522,900,SGSIN/PSA,TE,E,20180530,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
MNBU0177849,20180514,0,BDCGP/CPA,OH,E,20180517,0,BDCGP/CPA,TE,E
MNBU0177849,20180517,0,BDCGP/CPA,TE,E,20180517,2325,BDCGP/CPA,VE,E
MNBU0177849,20180517,2325,BDCGP/CPA,VE,E,20180522,900,SGSIN/PSA,TE,E
MNBU0177849,20180522,900,SGSIN/PSA,TE,E,20180530,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
MNBU0239508,20180213,0,BDCGP/CPA,OH,E,20180222,0,BDCGP/CPA,TE,E
MNBU0239508,20180222,0,BDCGP/CPA,TE,E,20180222,1255,BDCGP/CPA,VE,E
MNBU0239508,20180222,1255,BDCGP/CPA,VE,E,20180226,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
MNBU3304103,20180130,0,BDCGP/CPA,OH,E,20180206,0,BDCGP/CPA,TE,E
MNBU3304103,20180206,0,BDCGP/CPA,TE,E,20180206,1315,BDCGP/CPA,VE,E
MNBU3304103,20180206,1315,BDCGP/CPA,VE,E,20180210,1539,SGSIN/PSA,TE,E
MNBU3304103,20180210,1539,SGSIN/PSA,TE,E,20180211,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
MNBU3350921,20180514,0,BDCGP/CPA,OH,E,20180517,0,BDCGP/CPA,TE,E
MNBU3350921,20180517,0,BDCGP/CPA,TE,E,20180517,2325,BDCGP/CPA,VE,E
MNBU3350921,20180517,2325,BDCGP/CPA,VE,E,20180522,900,SGSIN/PSA,TE,E
MNBU3350921,20180522,900,SGSIN/PSA,TE,E,20180530,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
