Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
DLTU2961270,20180123,0,KRPUS/UNK,OH,E,20180123,100,KRPUS/UNK,SF,E
DLTU2961270,20180123,100,KRPUS/UNK,SF,E,20180205,1543,KRPUS/TOC,LF,F
DLTU2961270,20180205,1543,KRPUS/TOC,LF,F,20180207,1511,KRPUS/TOC,VF,F
DLTU2961270,20180207,1511,KRPUS/TOC,VF,F,20180212,2400,VNHPH/TVU,FH,E
DLTU2961270,20180212,2400,VNHPH/TVU,FH,E,20180212,330,VNHPH/TVU,DF,F
,,,,,,,,,,
DLTU2961347,20180123,0,KRPUS/UNK,OH,E,20180123,100,KRPUS/UNK,SF,E
DLTU2961347,20180123,100,KRPUS/UNK,SF,E,20180206,1559,KRPUS/TOC,LF,F
DLTU2961347,20180206,1559,KRPUS/TOC,LF,F,20180207,1524,KRPUS/TOC,VF,F
DLTU2961347,20180207,1524,KRPUS/TOC,VF,F,20180212,2400,VNHPH/TVU,FH,E
DLTU2961347,20180212,2400,VNHPH/TVU,FH,E,20180212,330,VNHPH/TVU,DF,F
,,,,,,,,,,
DLTU2963910,20180123,0,KRPUS/UNK,OH,E,20180123,100,KRPUS/UNK,SF,E
DLTU2963910,20180123,100,KRPUS/UNK,SF,E,20180206,1014,KRPUS/TOC,LF,F
DLTU2963910,20180206,1014,KRPUS/TOC,LF,F,20180207,1512,KRPUS/TOC,VF,F
DLTU2963910,20180207,1512,KRPUS/TOC,VF,F,20180212,2400,VNHPH/TVU,FH,E
DLTU2963910,20180212,2400,VNHPH/TVU,FH,E,20180212,330,VNHPH/TVU,DF,F
,,,,,,,,,,
DLTU2964270,20180123,0,KRPUS/UNK,OH,E,20180123,100,KRPUS/UNK,SF,E
DLTU2964270,20180123,100,KRPUS/UNK,SF,E,20180206,1223,KRPUS/TOC,LF,F
DLTU2964270,20180206,1223,KRPUS/TOC,LF,F,20180207,1520,KRPUS/TOC,VF,F
DLTU2964270,20180207,1520,KRPUS/TOC,VF,F,20180212,2400,VNHPH/TVU,FH,E
DLTU2964270,20180212,2400,VNHPH/TVU,FH,E,20180212,330,VNHPH/TVU,DF,F
,,,,,,,,,,
DLTU2965701,20180123,0,KRPUS/UNK,OH,E,20180123,100,KRPUS/UNK,SF,E
DLTU2965701,20180123,100,KRPUS/UNK,SF,E,20180205,1441,KRPUS/TOC,LF,F
DLTU2965701,20180205,1441,KRPUS/TOC,LF,F,20180207,1527,KRPUS/TOC,VF,F
DLTU2965701,20180207,1527,KRPUS/TOC,VF,F,20180212,2400,VNHPH/TVU,FH,E
DLTU2965701,20180212,2400,VNHPH/TVU,FH,E,20180212,330,VNHPH/TVU,DF,F
,,,,,,,,,,
DLTU2966518,20180123,0,KRPUS/UNK,OH,E,20180123,100,KRPUS/UNK,SF,E
DLTU2966518,20180123,100,KRPUS/UNK,SF,E,20180206,1554,KRPUS/TOC,LF,F
DLTU2966518,20180206,1554,KRPUS/TOC,LF,F,20180207,1509,KRPUS/TOC,VF,F
DLTU2966518,20180207,1509,KRPUS/TOC,VF,F,20180212,2400,VNHPH/TVU,FH,E
DLTU2966518,20180212,2400,VNHPH/TVU,FH,E,20180212,330,VNHPH/TVU,DF,F
,,,,,,,,,,
PCIU5808286,20180412,0,CNDLC/UNK,OH,E,20180412,1400,CNDLC/UNK,SF,E
PCIU5808286,20180412,1400,CNDLC/UNK,SF,E,20180417,1126,CNDLC/DCT,LF,F
PCIU5808286,20180417,1126,CNDLC/DCT,LF,F,20180418,1119,CNDLC/DCT,VF,F
PCIU5808286,20180418,1119,CNDLC/DCT,VF,F,20180422,1700,KRPUS/PHC,DF,F
PCIU5808286,20180422,1700,KRPUS/PHC,DF,F,20180429,358,KRPUS/PHC,VF,F
PCIU5808286,20180429,358,KRPUS/PHC,VF,F,20180505,19,UEVVO/VLA,DF,F
PCIU5808286,20180505,19,UEVVO/VLA,DF,F,20180515,1743,UEVVO/VLA,CF,F
,,,,,,,,,,
PCIU5810200,20180412,0,CNDLC/UNK,OH,E,20180412,1400,CNDLC/UNK,SF,E
PCIU5810200,20180412,1400,CNDLC/UNK,SF,E,20180417,1126,CNDLC/DCT,LF,F
PCIU5810200,20180417,1126,CNDLC/DCT,LF,F,20180418,929,CNDLC/DCT,VF,F
PCIU5810200,20180418,929,CNDLC/DCT,VF,F,20180422,1725,KRPUS/PHC,DF,F
PCIU5810200,20180422,1725,KRPUS/PHC,DF,F,20180429,358,KRPUS/PHC,VF,F
PCIU5810200,20180429,358,KRPUS/PHC,VF,F,20180505,18,UEVVO/VLA,DF,F
PCIU5810200,20180505,18,UEVVO/VLA,DF,F,20180515,1936,UEVVO/VLA,CF,F
,,,,,,,,,,
PCIU5812753,20180412,0,CNDLC/UNK,OH,E,20180412,1400,CNDLC/UNK,SF,E
PCIU5812753,20180412,1400,CNDLC/UNK,SF,E,20180417,1126,CNDLC/DCT,LF,F
PCIU5812753,20180417,1126,CNDLC/DCT,LF,F,20180418,929,CNDLC/DCT,VF,F
PCIU5812753,20180418,929,CNDLC/DCT,VF,F,20180422,1725,KRPUS/PHC,DF,F
PCIU5812753,20180422,1725,KRPUS/PHC,DF,F,20180429,416,KRPUS/PHC,VF,F
PCIU5812753,20180429,416,KRPUS/PHC,VF,F,20180505,321,UEVVO/VLA,DF,F
PCIU5812753,20180505,321,UEVVO/VLA,DF,F,20180516,632,UEVVO/VLA,CF,F
,,,,,,,,,,
