Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
APRU5090127,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
APRU5090127,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
APRU5090127,20180909,850,BDCGP/CPA,VE,E,20180914,20,SGSIN/PSA,TE,E
APRU5090127,20180914,20,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
APRU6138800,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
APRU6138800,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
APRU6138800,20181114,1300,BDCGP/CPA,VE,E,20181120,633,SGSIN/PSA,TE,E
APRU6138800,20181120,633,SGSIN/PSA,TE,E,20181126,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
BMOU9505628,20181129,0,BDCGP/CPA,OH,E,20181205,0,BDCGP/CPA,TE,E
BMOU9505628,20181205,0,BDCGP/CPA,TE,E,20181205,810,BDCGP/CPA,VE,E
BMOU9505628,20181205,810,BDCGP/CPA,VE,E,20181213,449,SGSIN/PSA,TE,E
BMOU9505628,20181213,449,SGSIN/PSA,TE,E,20181224,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
BMOU9507847,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
BMOU9507847,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
BMOU9507847,20180909,850,BDCGP/CPA,VE,E,20180914,133,SGSIN/PSA,TE,E
BMOU9507847,20180914,133,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
BMOU9746158,20180827,0,BDCGP/CPA,OH,E,20180909,0,BDCGP/CPA,TE,E
BMOU9746158,20180909,0,BDCGP/CPA,TE,E,20180909,850,BDCGP/CPA,VE,E
BMOU9746158,20180909,850,BDCGP/CPA,VE,E,20180914,3,SGSIN/PSA,TE,E
BMOU9746158,20180914,3,SGSIN/PSA,TE,E,20180918,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
BMOU9761770,20180911,0,BDCGP/CPA,OH,E,20180922,0,BDCGP/CPA,TE,E
BMOU9761770,20180922,0,BDCGP/CPA,TE,E,20180922,920,BDCGP/CPA,VE,E
BMOU9761770,20180922,920,BDCGP/CPA,VE,E,20180926,1639,SGSIN/PSA,TE,E
BMOU9761770,20180926,1639,SGSIN/PSA,TE,E,20181008,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
BMOU9782406,20181001,0,BDCGP/CPA,OH,E,20181007,0,BDCGP/CPA,TE,E
BMOU9782406,20181007,0,BDCGP/CPA,TE,E,20181007,2040,BDCGP/CPA,VE,E
BMOU9782406,20181007,2040,BDCGP/CPA,VE,E,20181012,900,SGSIN/PSA,TE,E
BMOU9782406,20181012,900,SGSIN/PSA,TE,E,20181020,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
BMOU9787542,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
BMOU9787542,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
BMOU9787542,20181114,1300,BDCGP/CPA,VE,E,20181120,628,SGSIN/PSA,TE,E
BMOU9787542,20181120,628,SGSIN/PSA,TE,E,20181130,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
BMOU9790422,20181108,0,BDCGP/CPA,OH,E,20181114,0,BDCGP/CPA,TE,E
BMOU9790422,20181114,0,BDCGP/CPA,TE,E,20181114,1300,BDCGP/CPA,VE,E
