Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
HDMU5997010,20180111,849,KRPUS/HNC,TD,E,20180116,1407,KRPUS/HNC,TE,E
HDMU5997010,20180116,1407,KRPUS/HNC,TE,E,20180124,1150,KRPUS/HNC,SF,E
HDMU5997010,20180124,1150,KRPUS/HNC,SF,E,20180125,1139,KRPUS/PHC,LF,F
HDMU5997010,20180125,1139,KRPUS/PHC,LF,F,20180131,2255,KRPUS/PHC,VF,F
HDMU5997010,20180131,2255,KRPUS/PHC,VF,F,20180306,515,NLRTM/MVT,DF,F
HDMU5997010,20180306,515,NLRTM/MVT,DF,F,20180306,1356,NLRTM/MVT,CF,F
HDMU5997010,20180306,1356,NLRTM/MVT,CF,F,20180307,1051,NLRTM/CET,TD,E
HDMU5997010,20180307,1051,NLRTM/CET,TD,E,20180313,1450,NLRTM/CET,TE,E
HDMU5997010,20180313,1450,NLRTM/CET,TE,E,20180322,1002,NLRTM/MVT,OE,E
HDMU5997010,20180322,1002,NLRTM/MVT,OE,E,20180323,214,NLRTM/MVT,TE,E
HDMU5997010,20180323,214,NLRTM/MVT,TE,E,20180408,222,NLRTM/MVT,VE,E
HDMU5997010,20180408,222,NLRTM/MVT,VE,E,20180514,1615,KRPUS/PHC,TE,E
HDMU5997010,20180514,1615,KRPUS/PHC,TE,E,20180523,1327,KRPUS/HNC,OE,E
HDMU5997010,20180523,1327,KRPUS/HNC,OE,E,20180523,1341,KRPUS/HNC,TE,E
HDMU5997010,20180523,1341,KRPUS/HNC,TE,E,20180620,1716,KRPUS/HNC,SF,E
HDMU5997010,20180620,1716,KRPUS/HNC,SF,E,20180621,1219,KRPUS/HNC,LF,F
HDMU5997010,20180621,1219,KRPUS/HNC,LF,F,20180624,2133,KRPUS/HNC,VF,F
HDMU5997010,20180624,2133,KRPUS/HNC,VF,F,20180729,1226,NLRTM/RWG,DF,F
HDMU5997010,20180729,1226,NLRTM/RWG,DF,F,20180801,724,NLRTM/RWG,CF,F
HDMU5997010,20180801,724,NLRTM/RWG,CF,F,20180801,1320,NLRTM/RWG,TE,E
HDMU5997010,20180801,1320,NLRTM/RWG,TE,E,20180809,639,NLRTM/RWG,VE,E
HDMU5997010,20180809,639,NLRTM/RWG,VE,E,20180916,25,KRPUS/HNC,TE,E
HDMU5997010,20180916,25,KRPUS/HNC,TE,E,20181004,2347,KRPUS/HNC,VE,E
HDMU5997010,20181004,2347,KRPUS/HNC,VE,E,20181008,859,JPYOK/MC1,TE,E
HDMU5997010,20181008,859,JPYOK/MC1,TE,E,20181018,1131,JPYOK/MC1,SF,E
HDMU5997010,20181018,1131,JPYOK/MC1,SF,E,20181019,1255,JPYOK/MC1,LF,F
