Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
BSIU1000194,20180208,1647,KRPUS/HNC,SF,E,20180213,1606,KRPUS/HNC,LF,F
BSIU1000194,20180213,1606,KRPUS/HNC,LF,F,20180218,1647,KRPUS/HNC,VF,F
BSIU1000194,20180218,1647,KRPUS/HNC,VF,F,20180319,2236,QAHMD/CT1,DF,F
BSIU1000194,20180319,2236,QAHMD/CT1,DF,F,20180325,1100,QAHMD/CT1,CF,F
BSIU1000194,20180325,1100,QAHMD/CT1,CF,F,20180325,2200,QAHMD/CT1,TE,E
BSIU1000194,20180325,2200,QAHMD/CT1,TE,E,20180331,200,QAHMD/CT1,VE,E
BSIU1000194,20180331,200,QAHMD/CT1,VE,E,20180421,741,KRPUS/HNC,TE,E
BSIU1000194,20180421,741,KRPUS/HNC,TE,E,20180427,1109,KRPUS/HNC,SF,E
BSIU1000194,20180427,1109,KRPUS/HNC,SF,E,20180428,812,KRPUS/HNC,LF,F
BSIU1000194,20180428,812,KRPUS/HNC,LF,F,20180501,2220,KRPUS/HNC,VF,F
BSIU1000194,20180501,2220,KRPUS/HNC,VF,F,20180522,1853,INNSA/NSA,DF,F
BSIU1000194,20180522,1853,INNSA/NSA,DF,F,20180524,610,INNSA/NAV,OI,F
BSIU1000194,20180524,610,INNSA/NAV,OI,F,20180525,214,INNSA/NAV,TI,F
BSIU1000194,20180525,214,INNSA/NAV,TI,F,20180611,2113,INNSA/NAV,CF,F
BSIU1000194,20180611,2113,INNSA/NAV,CF,F,20180611,2300,INNSA/NAV,TE,E
BSIU1000194,20180611,2300,INNSA/NAV,TE,E,20180702,1634,INNSA/NSA,OE,E
BSIU1000194,20180702,1634,INNSA/NSA,OE,E,20180703,628,INNSA/NSA,TE,E
BSIU1000194,20180703,628,INNSA/NSA,TE,E,20180706,730,INNSA/NSA,VE,E
BSIU1000194,20180706,730,INNSA/NSA,VE,E,20180801,1153,KRPUS/HNC,TE,E
