Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
HDMU1000028,20180124,214,NLRTM/MVT,DF,F,20180125,1509,NLRTM/MVT,CF,F
HDMU1000028,20180125,1509,NLRTM/MVT,CF,F,20180129,1715,NLRTM/VDN,TD,E
HDMU1000028,20180129,1715,NLRTM/VDN,TD,E,20180227,828,NLRTM/VDN,TE,E
HDMU1000028,20180227,828,NLRTM/VDN,TE,E,20180302,1018,NLRTM/ECT,OE,E
HDMU1000028,20180302,1018,NLRTM/ECT,OE,E,20180302,1020,NLRTM/ECT,TE,E
HDMU1000028,20180302,1020,NLRTM/ECT,TE,E,20180302,2110,NLRTM/MDT,OE,E
HDMU1000028,20180302,2110,NLRTM/MDT,OE,E,20180302,2113,NLRTM/MDT,TE,E
HDMU1000028,20180302,2113,NLRTM/MDT,TE,E,20180307,1100,NLRTM/MDT,SF,E
HDMU1000028,20180307,1100,NLRTM/MDT,SF,E,20180310,1000,NLRTM/MDT,LF,F
HDMU1000028,20180310,1000,NLRTM/MDT,LF,F,20180313,1250,NLRTM/MDT,VF,F
HDMU1000028,20180313,1250,NLRTM/MDT,VF,F,20180418,2310,KRPUS/PHC,DF,F
HDMU1000028,20180418,2310,KRPUS/PHC,DF,F,20180418,2311,KRPUS/PHC,CF,F
HDMU1000028,20180418,2311,KRPUS/PHC,CF,F,20180418,2312,KRPUS/PHC,TE,E
HDMU1000028,20180418,2312,KRPUS/PHC,TE,E,20180430,1000,KRPUS/PHC,SF,E
HDMU1000028,20180430,1000,KRPUS/PHC,SF,E,20180430,1001,KRPUS/PHC,LF,F
HDMU1000028,20180430,1001,KRPUS/PHC,LF,F,20180506,806,KRPUS/PHC,VF,F
HDMU1000028,20180506,806,KRPUS/PHC,VF,F,20180607,530,GBLGP/DPW,DF,F
HDMU1000028,20180607,530,GBLGP/DPW,DF,F,20180607,531,GBLGP/DPW,CF,F
HDMU1000028,20180607,531,GBLGP/DPW,CF,F,20180607,532,GBLGP/DPW,TE,E
HDMU1000028,20180607,532,GBLGP/DPW,TE,E,20180615,1333,GBSOU/SOO,OE,E
HDMU1000028,20180615,1333,GBSOU/SOO,OE,E,20180618,720,GBSOU/SOO,TE,E
HDMU1000028,20180618,720,GBSOU/SOO,TE,E,20180628,2146,GBSOU/SOO,VE,E
HDMU1000028,20180628,2146,GBSOU/SOO,VE,E,20180731,2318,KRPUS/HNC,TE,E
HDMU1000028,20180731,2318,KRPUS/HNC,TE,E,20180801,904,KRPUS/HNC,SF,E
HDMU1000028,20180801,904,KRPUS/HNC,SF,E,20180814,1558,KRPUS/HNC,LF,F
HDMU1000028,20180814,1558,KRPUS/HNC,LF,F,20180815,2255,KRPUS/HNC,VF,F
HDMU1000028,20180815,2255,KRPUS/HNC,VF,F,20180828,116,CNSHK/SKU,DF,F
HDMU1000028,20180828,116,CNSHK/SKU,DF,F,20180829,807,CNSHK/SKU,CF,F
HDMU1000028,20180829,807,CNSHK/SKU,CF,F,20180829,1336,CNSHK/CSL,TE,E
HDMU1000028,20180829,1336,CNSHK/CSL,TE,E,20180908,1407,CNSHK/CCT,OE,E
HDMU1000028,20180908,1407,CNSHK/CCT,OE,E,20180908,1423,CNSHK/CCT,TE,E
HDMU1000028,20180908,1423,CNSHK/CCT,TE,E,20180920,1347,CNSHK/CCT,VE,E
HDMU1000028,20180920,1347,CNSHK/CCT,VE,E,20180929,303,KRPUS/TOC,TE,E
HDMU1000028,20180929,303,KRPUS/TOC,TE,E,20181210,1124,KRPUS/TOC,SF,E
HDMU1000028,20181210,1124,KRPUS/TOC,SF,E,20181214,1713,KRPUS/TOC,LF,F
HDMU1000028,20181214,1713,KRPUS/TOC,LF,F,20181218,159,KRPUS/TOC,VF,F
HDMU1000028,20181218,159,KRPUS/TOC,VF,F,20181224,1756,VNSGN/CLT,DF,F
HDMU1000028,20181224,1756,VNSGN/CLT,DF,F,20181225,2212,VNSGN/CLT,CF,F
HDMU1000028,20181225,2212,VNSGN/CLT,CF,F,20181226,1629,VNSGN/STR,TE,E
,,,,,,,,,,
HDMU1000049,20180104,1406,HKHKG/CSB,TD,E,20180109,0,HKHKG/CSB,TE,E
HDMU1000049,20180109,0,HKHKG/CSB,TE,E,20180116,1614,CNYTN/CSP,OE,E
HDMU1000049,20180116,1614,CNYTN/CSP,OE,E,20180116,1803,CNYTN/CSP,TE,E
HDMU1000049,20180116,1803,CNYTN/CSP,TE,E,20180205,1235,CNYTN/CSP,SF,E
HDMU1000049,20180205,1235,CNYTN/CSP,SF,E,20180206,1948,CNYTN/CSP,TE,E
HDMU1000049,20180206,1948,CNYTN/CSP,TE,E,20180313,1620,CNYTN/YTN,OE,E
HDMU1000049,20180313,1620,CNYTN/YTN,OE,E,20180313,1719,CNYTN/YTN,TE,E
HDMU1000049,20180313,1719,CNYTN/YTN,TE,E,20180317,1433,CNYTN/YTN,VE,E
HDMU1000049,20180317,1433,CNYTN/YTN,VE,E,20180324,523,KRPUS/HNC,TE,E
HDMU1000049,20180324,523,KRPUS/HNC,TE,E,20180327,1522,KRPUS/HNC,SF,E
HDMU1000049,20180327,1522,KRPUS/HNC,SF,E,20180328,1611,KRPUS/PHC,LF,F
HDMU1000049,20180328,1611,KRPUS/PHC,LF,F,20180405,1538,KRPUS/PHC,VF,F
HDMU1000049,20180405,1538,KRPUS/PHC,VF,F,20180414,1155,IDJKT/QQA,DF,F
HDMU1000049,20180414,1155,IDJKT/QQA,DF,F,20180417,2116,IDJKT/QQA,CF,F
HDMU1000049,20180417,2116,IDJKT/QQA,CF,F,20180420,1900,IDJKT/BSA,TE,E
HDMU1000049,20180420,1900,IDJKT/BSA,TE,E,20180427,457,IDJKT/BSA,SF,E
HDMU1000049,20180427,457,IDJKT/BSA,SF,E,20180428,910,IDJKT/TSJ,LF,F
HDMU1000049,20180428,910,IDJKT/TSJ,LF,F,20180430,653,IDJKT/TSJ,VF,F
HDMU1000049,20180430,653,IDJKT/TSJ,VF,F,20180502,426,SGSIN/PSA,DF,F
HDMU1000049,20180502,426,SGSIN/PSA,DF,F,20180518,1203,SGSIN/PSA,VF,F
HDMU1000049,20180518,1203,SGSIN/PSA,VF,F,20180522,927,LKCMB/JCT,DF,F
HDMU1000049,20180522,927,LKCMB/JCT,DF,F,20180524,1314,LKCMB/JCT,CF,F
HDMU1000049,20180524,1314,LKCMB/JCT,CF,F,20180525,1417,LKCMB/ACE,TD,E
HDMU1000049,20180525,1417,LKCMB/ACE,TD,E,20180608,1903,LKCMB/ACE,TE,E
HDMU1000049,20180608,1903,LKCMB/ACE,TE,E,20180609,300,LKCMB/JCT,OE,E
HDMU1000049,20180609,300,LKCMB/JCT,OE,E,20180609,500,LKCMB/JCT,TE,E
HDMU1000049,20180609,500,LKCMB/JCT,TE,E,20180610,1759,LKCMB/JCT,VE,E
HDMU1000049,20180610,1759,LKCMB/JCT,VE,E,20180716,1304,KRPUS/HNC,TE,E
HDMU1000049,20180716,1304,KRPUS/HNC,TE,E,20180719,1345,KRPUS/HNC,SF,E
HDMU1000049,20180719,1345,KRPUS/HNC,SF,E,20180721,822,KRPUS/HNC,LF,F
HDMU1000049,20180721,822,KRPUS/HNC,LF,F,20180724,2233,KRPUS/HNC,VF,F
HDMU1000049,20180724,2233,KRPUS/HNC,VF,F,20180809,1926,INKAT/KIT,DF,F
HDMU1000049,20180809,1926,INKAT/KIT,DF,F,20180826,957,INKAT/KIT,CF,F
HDMU1000049,20180826,957,INKAT/KIT,CF,F,20180829,1150,INKAT/SSA,TE,E
HDMU1000049,20180829,1150,INKAT/SSA,TE,E,20180904,1700,INKAT/SSA,SF,E
HDMU1000049,20180904,1700,INKAT/SSA,SF,E,20180907,1928,INMAA/CIT,LF,F
HDMU1000049,20180907,1928,INMAA/CIT,LF,F,20180908,1426,INMAA/CIT,VF,F
HDMU1000049,20180908,1426,INMAA/CIT,VF,F,20180914,1859,MYPKG/KMT,DF,F
HDMU1000049,20180914,1859,MYPKG/KMT,DF,F,20180917,1623,MYPKG/KMT,VF,F
HDMU1000049,20180917,1623,MYPKG/KMT,VF,F,20180923,2000,HKHKG/HIT,DF,F
HDMU1000049,20180923,2000,HKHKG/HIT,DF,F,20180923,2137,HKHKG/HIT,CF,F
HDMU1000049,20180923,2137,HKHKG/HIT,CF,F,20180924,929,HKHKG/CSB,TD,E
HDMU1000049,20180924,929,HKHKG/CSB,TD,E,20180928,0,HKHKG/CSB,TE,E
HDMU1000049,20180928,0,HKHKG/CSB,TE,E,20181124,1357,CNSHK/CSL,OE,E
HDMU1000049,20181124,1357,CNSHK/CSL,OE,E,20181124,1434,CNSHK/CSL,TE,E
HDMU1000049,20181124,1434,CNSHK/CSL,TE,E,20181223,919,CNDCB/DBT,OE,E
HDMU1000049,20181223,919,CNDCB/DBT,OE,E,20181223,942,CNDCB/DBT,TE,E
HDMU1000049,20181223,942,CNDCB/DBT,TE,E,20181226,1000,CNDCB/DBT,VE,E
,,,,,,,,,,
HDMU1000054,20180107,1607,THLCH/LCI,DF,F,20180119,2327,THLCH/LCI,CF,F
HDMU1000054,20180119,2327,THLCH/LCI,CF,F,20180121,839,THBKK/SRD,TD,E
HDMU1000054,20180121,839,THBKK/SRD,TD,E,20180128,1105,THLCH/LCI,OE,E
HDMU1000054,20180128,1105,THLCH/LCI,OE,E,20180128,1447,THLCH/LCI,TE,E
HDMU1000054,20180128,1447,THLCH/LCI,TE,E,20180130,2100,THLCH/LCI,VE,E
HDMU1000054,20180130,2100,THLCH/LCI,VE,E,20180209,16,KRPUS/HNC,TE,E
HDMU1000054,20180209,16,KRPUS/HNC,TE,E,20180209,919,KRPUS/HNC,SF,E
HDMU1000054,20180209,919,KRPUS/HNC,SF,E,20180228,1803,KRPUS/HNC,LF,F
HDMU1000054,20180228,1803,KRPUS/HNC,LF,F,20180303,1854,KRPUS/HNC,VF,F
HDMU1000054,20180303,1854,KRPUS/HNC,VF,F,20180315,2218,MYPKG/KMT,DF,F
HDMU1000054,20180315,2218,MYPKG/KMT,DF,F,20180323,1132,MYPKG/KMT,CF,F
HDMU1000054,20180323,1132,MYPKG/KMT,CF,F,20180323,1614,MYPKG/PPS,TE,E
HDMU1000054,20180323,1614,MYPKG/PPS,TE,E,20180413,149,MYPKG/KMT,OE,E
HDMU1000054,20180413,149,MYPKG/KMT,OE,E,20180413,1034,MYPKG/KMT,TE,E
HDMU1000054,20180413,1034,MYPKG/KMT,TE,E,20180414,730,MYPKG/KMT,VE,E
HDMU1000054,20180414,730,MYPKG/KMT,VE,E,20180424,1130,CNTXG/EAT,TE,E
HDMU1000054,20180424,1130,CNTXG/EAT,TE,E,20180428,47,CNTXG/ZIT,OE,E
HDMU1000054,20180428,47,CNTXG/ZIT,OE,E,20180429,47,CNTXG/ZIT,TE,E
HDMU1000054,20180429,47,CNTXG/ZIT,TE,E,20180618,1521,CNTXG/ZIT,SF,E
HDMU1000054,20180618,1521,CNTXG/ZIT,SF,E,20180622,1106,CNTXG/PCT,LF,F
HDMU1000054,20180622,1106,CNTXG/PCT,LF,F,20180625,1140,CNTXG/PCT,VF,F
HDMU1000054,20180625,1140,CNTXG/PCT,VF,F,20180720,2009,USLGB/TTI,DF,F
HDMU1000054,20180720,2009,USLGB/TTI,DF,F,20180724,1401,USLGB/TTI,CF,F
HDMU1000054,20180724,1401,USLGB/TTI,CF,F,20180725,930,USLGB/TTI,TE,E
HDMU1000054,20180725,930,USLGB/TTI,TE,E,20180906,1632,USLGB/TTI,VE,E
HDMU1000054,20180906,1632,USLGB/TTI,VE,E,20180923,1422,KRPUS/HNC,TE,E
HDMU1000054,20180923,1422,KRPUS/HNC,TE,E,20181008,1414,KRPUS/HNC,SF,E
HDMU1000054,20181008,1414,KRPUS/HNC,SF,E,20181012,1209,KRPUS/HNC,LF,F
HDMU1000054,20181012,1209,KRPUS/HNC,LF,F,20181013,147,KRPUS/HNC,VF,F
HDMU1000054,20181013,147,KRPUS/HNC,VF,F,20181020,1822,CNSHK/SKU,DF,F
HDMU1000054,20181020,1822,CNSHK/SKU,DF,F,20181022,756,CNSHK/SKU,CF,F
HDMU1000054,20181022,756,CNSHK/SKU,CF,F,20181022,1417,CNSHK/CSL,TD,E
HDMU1000054,20181022,1417,CNSHK/CSL,TD,E,20181023,0,CNSHK/CSL,TE,E
HDMU1000054,20181023,0,CNSHK/CSL,TE,E,20181124,156,CNSHK/CSL,SF,E
HDMU1000054,20181124,156,CNSHK/CSL,SF,E,20181125,145,CNSHK/SKU,LF,F
HDMU1000054,20181125,145,CNSHK/SKU,LF,F,20181128,2045,CNSHK/SKU,VF,F
HDMU1000054,20181128,2045,CNSHK/SKU,VF,F,20181214,1625,INMUN/CT3,DF,F
HDMU1000054,20181214,1625,INMUN/CT3,DF,F,20181215,1706,INMUN/SMS,OI,F
HDMU1000054,20181215,1706,INMUN/SMS,OI,F,20181215,2009,INMUN/SMS,TI,F
HDMU1000054,20181215,2009,INMUN/SMS,TI,F,20181221,1055,INMUN/SMS,CF,F
HDMU1000054,20181221,1055,INMUN/SMS,CF,F,20181225,45,INMUN/SMS,TE,E
HDMU1000054,20181225,45,INMUN/SMS,TE,E,20181225,1000,INMUN/SMS,TD,E
,,,,,,,,,,
HDMU1000075,20180103,1045,CNTXG/KYU,SF,E,20180105,1526,CNTXG/PCT,LF,F
HDMU1000075,20180105,1526,CNTXG/PCT,LF,F,20180108,700,CNTXG/PCT,VF,F
HDMU1000075,20180108,700,CNTXG/PCT,VF,F,20180227,2029,NLRTM/MVT,DF,F
HDMU1000075,20180227,2029,NLRTM/MVT,DF,F,20180228,1200,NLRTM/MVT,CF,F
HDMU1000075,20180228,1200,NLRTM/MVT,CF,F,20180302,653,NLRTM/VDN,TD,E
HDMU1000075,20180302,653,NLRTM/VDN,TD,E,20180307,1647,NLRTM/VDN,TE,E
HDMU1000075,20180307,1647,NLRTM/VDN,TE,E,20180511,1654,NLRTM/VDN,SF,E
HDMU1000075,20180511,1654,NLRTM/VDN,SF,E,20180514,1457,NLRTM/MVT,LF,F
HDMU1000075,20180514,1457,NLRTM/MVT,LF,F,20180516,2238,NLRTM/MVT,VF,F
HDMU1000075,20180516,2238,NLRTM/MVT,VF,F,20180623,836,KRPUS/PIC,DF,F
HDMU1000075,20180623,836,KRPUS/PIC,DF,F,20180626,1535,KRPUS/PIC,CF,F
HDMU1000075,20180626,1535,KRPUS/PIC,CF,F,20180629,1014,KRPUS/HNC,TE,E
HDMU1000075,20180629,1014,KRPUS/HNC,TE,E,20180629,1047,KRPUS/HNC,TD,E
HDMU1000075,20180629,1047,KRPUS/HNC,TD,E,20180710,1022,KRPUS/HNC,TE,E
HDMU1000075,20180710,1022,KRPUS/HNC,TE,E,20180710,1743,KRPUS/HNC,SF,E
HDMU1000075,20180710,1743,KRPUS/HNC,SF,E,20180717,1002,KRPUS/HNC,LF,F
HDMU1000075,20180717,1002,KRPUS/HNC,LF,F,20180719,117,KRPUS/HNC,VF,F
HDMU1000075,20180719,117,KRPUS/HNC,VF,F,20180728,1946,CNSHK/SKU,DF,F
HDMU1000075,20180728,1946,CNSHK/SKU,DF,F,20180801,1305,CNSHK/SKU,CF,F
HDMU1000075,20180801,1305,CNSHK/SKU,CF,F,20180801,1459,CNSHK/CSL,TE,E
HDMU1000075,20180801,1459,CNSHK/CSL,TE,E,20180801,1521,CNDCB/DBT,OE,E
HDMU1000075,20180801,1521,CNDCB/DBT,OE,E,20180801,1826,CNDCB/DBT,TE,E
HDMU1000075,20180801,1826,CNDCB/DBT,TE,E,20180804,400,CNDCB/DBT,VE,E
HDMU1000075,20180804,400,CNDCB/DBT,VE,E,20180812,1330,CNSHA/WG1,TE,E
HDMU1000075,20180812,1330,CNSHA/WG1,TE,E,20180815,1050,CNSHA/DEW,OE,E
HDMU1000075,20180815,1050,CNSHA/DEW,OE,E,20180815,1132,CNSHA/DEW,TE,E
HDMU1000075,20180815,1132,CNSHA/DEW,TE,E,20181127,1059,CNSHA/DEW,SF,E
HDMU1000075,20181127,1059,CNSHA/DEW,SF,E,20181130,2044,CNSHA/YS1,LF,F
