Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
AGGU0800013,20180314,0,KRPUS/UNK,OH,E,20180314,100,KRPUS/UNK,SF,E
AGGU0800013,20180314,100,KRPUS/UNK,SF,E,20180407,1216,KRPUS/HNC,LF,F
AGGU0800013,20180407,1216,KRPUS/HNC,LF,F,20180407,1243,KRPUS/HNC,VF,F
AGGU0800013,20180407,1243,KRPUS/HNC,VF,F,20180419,1538,USLGB/TTI,DF,F
AGGU0800013,20180419,1538,USLGB/TTI,DF,F,20180420,1143,USLGB/TTI,CF,F
AGGU0800013,20180420,1143,USLGB/TTI,CF,F,20180420,1144,USLGB/UNK,FH,E
AGGU0800013,20180420,1144,USLGB/UNK,FH,E,20181024,0,KRPUS/UNK,OH,E
AGGU0800013,20181024,0,KRPUS/UNK,OH,E,20181024,100,KRPUS/UNK,SF,E
AGGU0800013,20181024,100,KRPUS/UNK,SF,E,20181112,1713,KRPUS/HNC,LF,F
AGGU0800013,20181112,1713,KRPUS/HNC,LF,F,20181112,2010,KRPUS/HNC,VF,F
AGGU0800013,20181112,2010,KRPUS/HNC,VF,F,20181126,2109,USLAX/APM,DF,F
AGGU0800013,20181126,2109,USLAX/APM,DF,F,20181128,1606,USLAX/APM,CF,F
AGGU0800013,20181128,1606,USLAX/APM,CF,F,20181128,1607,USLAX/UNK,FH,E
,,,,,,,,,,
AGOU4510020,20181216,0,QAHMD/CT1,OH,E,20181217,1000,QAHMD/CT1,SF,E
AGOU4510020,20181217,1000,QAHMD/CT1,SF,E,20181220,1404,QAHMD/CT1,LF,F
AGOU4510020,20181220,1404,QAHMD/CT1,LF,F,20181225,1944,QAHMD/CT1,VF,F
,,,,,,,,,,
AGOU4510062,20180805,0,QAHMD/CT1,OH,E,20180806,1500,QAHMD/CT1,SF,E
AGOU4510062,20180806,1500,QAHMD/CT1,SF,E,20180809,1500,QAHMD/CT1,LF,F
AGOU4510062,20180809,1500,QAHMD/CT1,LF,F,20180815,1300,QAHMD/CT1,VF,F
AGOU4510062,20180815,1300,QAHMD/CT1,VF,F,20180827,1728,SGSIN/PSA,DF,F
AGOU4510062,20180827,1728,SGSIN/PSA,DF,F,20180830,2400,SGSIN/UNK,FH,E
AGOU4510062,20180830,2400,SGSIN/UNK,FH,E,20181211,0,QAHMD/CT1,OH,E
AGOU4510062,20181211,0,QAHMD/CT1,OH,E,20181212,1000,QAHMD/CT1,SF,E
AGOU4510062,20181212,1000,QAHMD/CT1,SF,E,20181213,1500,QAHMD/CT1,LF,F
AGOU4510062,20181213,1500,QAHMD/CT1,LF,F,20181216,800,QAHMD/CT1,VF,F
AGOU4510062,20181216,800,QAHMD/CT1,VF,F,20181230,1124,SGSIN/PSA,DF,F
AGOU4510062,20181230,1124,SGSIN/PSA,DF,F,20181231,1055,SGSIN/PSA,CF,F
,,,,,,,,,,
AGOU4510078,20180930,0,QAHMD/CT1,OH,E,20181001,1100,QAHMD/CT1,SF,E
AGOU4510078,20181001,1100,QAHMD/CT1,SF,E,20181010,1509,QAHMD/CT1,LF,F
AGOU4510078,20181010,1509,QAHMD/CT1,LF,F,20181017,2002,QAHMD/CT1,VF,F
AGOU4510078,20181017,2002,QAHMD/CT1,VF,F,20181030,2204,SGSIN/PSA,DF,F
AGOU4510078,20181030,2204,SGSIN/PSA,DF,F,20181103,2400,SGSIN/UNK,FH,E
,,,,,,,,,,
AIGU0007019,20180105,828,USNYC/MST,DF,F,20180110,1349,USNYC/MST,CF,F
AIGU0007019,20180110,1349,USNYC/MST,CF,F,20180110,1350,USNYC/UNK,FH,E
,,,,,,,,,,
AIRU4043168,20180116,0,KRPUS/UNK,OH,E,20180116,100,KRPUS/UNK,SF,E
AIRU4043168,20180116,100,KRPUS/UNK,SF,E,20180208,4,KRPUS/PIC,LF,F
AIRU4043168,20180208,4,KRPUS/PIC,LF,F,20180208,54,KRPUS/PIC,VF,F
AIRU4043168,20180208,54,KRPUS/PIC,VF,F,20180301,1836,USNYC/MST,DF,F
AIRU4043168,20180301,1836,USNYC/MST,DF,F,20180302,1346,USNYC/MST,CF,F
AIRU4043168,20180302,1346,USNYC/MST,CF,F,20180302,1347,USNYC/UNK,FH,E
,,,,,,,,,,
AIRU4043208,20180302,0,KRPUS/UNK,OH,E,20180302,100,KRPUS/UNK,SF,E
AIRU4043208,20180302,100,KRPUS/UNK,SF,E,20180319,930,KRPUS/BIT,TE,E
AIRU4043208,20180319,930,KRPUS/BIT,TE,E,20180319,1044,KRPUS/BIT,VE,E
AIRU4043208,20180319,1044,KRPUS/BIT,VE,E,20180322,1401,CNNGB/BLN,TE,E
AIRU4043208,20180322,1401,CNNGB/BLN,TE,E,20180701,2400,CNNGB/UNK,FH,E
AIRU4043208,20180701,2400,CNNGB/UNK,FH,E,20180827,0,KRPUS/UNK,OH,E
AIRU4043208,20180827,0,KRPUS/UNK,OH,E,20180827,100,KRPUS/UNK,SF,E
AIRU4043208,20180827,100,KRPUS/UNK,SF,E,20180913,2324,KRPUS/HNC,LF,F
AIRU4043208,20180913,2324,KRPUS/HNC,LF,F,20180914,315,KRPUS/HNC,VF,F
AIRU4043208,20180914,315,KRPUS/HNC,VF,F,20180926,110,USLGB/TTI,DF,F
AIRU4043208,20180926,110,USLGB/TTI,DF,F,20181001,1109,USLGB/TTI,CF,F
AIRU4043208,20181001,1109,USLGB/TTI,CF,F,20181001,1110,USLGB/UNK,FH,E
,,,,,,,,,,
AIRU4131438,20180305,0,CNSHA/UNK,OH,E,20180305,1,CNSHA/WG2,SF,F
AIRU4131438,20180305,1,CNSHA/WG2,SF,F,20180316,1000,CNSHA/WG2,LF,F
AIRU4131438,20180316,1000,CNSHA/WG2,LF,F,20180317,1500,CNSHA/WG2,VF,F
AIRU4131438,20180317,1500,CNSHA/WG2,VF,F,20180330,1349,USLGB/TTI,DF,F
AIRU4131438,20180330,1349,USLGB/TTI,DF,F,20180406,1343,USLGB/TTI,CF,F
AIRU4131438,20180406,1343,USLGB/TTI,CF,F,20180406,1344,USLGB/UNK,FH,E
,,,,,,,,,,
AIRU4136888,20180321,0,KRPUS/UNK,OH,E,20180321,100,KRPUS/UNK,SF,E
AIRU4136888,20180321,100,KRPUS/UNK,SF,E,20180406,1420,KRPUS/HNC,TE,E
AIRU4136888,20180406,1420,KRPUS/HNC,TE,E,20180407,115,KRPUS/HNC,VE,E
AIRU4136888,20180407,115,KRPUS/HNC,VE,E,20180409,1200,CNNGB/BSC,TE,E
AIRU4136888,20180409,1200,CNNGB/BSC,TE,E,20180925,2400,CNNGB/UNK,FH,E
,,,,,,,,,,
AIRU4136912,20180206,0,KRPUS/UNK,OH,E,20180206,100,KRPUS/UNK,SF,E
AIRU4136912,20180206,100,KRPUS/UNK,SF,E,20180225,2137,KRPUS/PIC,LF,F
AIRU4136912,20180225,2137,KRPUS/PIC,LF,F,20180225,2209,KRPUS/PIC,VF,F
AIRU4136912,20180225,2209,KRPUS/PIC,VF,F,20180324,1303,USNYC/MST,DF,F
