Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
CICU1800534,20180803,930,CAVAN/UNK,OH,E,20180803,931,CAVAN/UNK,SF,E
CICU1800534,20180803,931,CAVAN/UNK,SF,E,20180810,1330,CAVAN/VNT,LF,F
CICU1800534,20180810,1330,CAVAN/VNT,LF,F,20180812,1237,CAVAN/VNT,VF,F
CICU1800534,20180812,1237,CAVAN/VNT,VF,F,20180908,0,CNSHA/WG2,DF,F
CICU1800534,20180908,0,CNSHA/WG2,DF,F,20180910,2400,CNSHA/UND,FH,E
,,,,,,,,,,
IICU0016863,20180318,0,QAHMD/CT1,OH,E,20180318,800,QAHMD/CT1,SF,E
IICU0016863,20180318,800,QAHMD/CT1,SF,E,20180318,1500,QAHMD/CT1,LF,F
IICU0016863,20180318,1500,QAHMD/CT1,LF,F,20180319,200,QAHMD/CT1,VF,F
IICU0016863,20180319,200,QAHMD/CT1,VF,F,20180403,143,SGSIN/PSA,DF,F
IICU0016863,20180403,143,SGSIN/PSA,DF,F,20180404,1741,SGSIN/PSA,VF,F
IICU0016863,20180404,1741,SGSIN/PSA,VF,F,20180424,2030,CNSHA/WG1,DF,F
IICU0016863,20180424,2030,CNSHA/WG1,DF,F,20180425,2400,CNSHA/UNK,FH,E
,,,,,,,,,,
