Equipment No,Move Date,Time,LCN/Depot,prev_status,F.E,Move Date,Time,LCN/Depot,next_status,F.E
ALFU2820058,20181105,0,TWKHH/078,OH,E,20181105,800,TWKHH/078,SF,E
ALFU2820058,20181105,800,TWKHH/078,SF,E,20181105,1743,TWKHH/078,LF,F
ALFU2820058,20181105,1743,TWKHH/078,LF,F,20181113,2144,TWKHH/078,VF,F
ALFU2820058,20181113,2144,TWKHH/078,VF,F,20181130,1820,USTIW/WUT,DF,F
ALFU2820058,20181130,1820,USTIW/WUT,DF,F,20181204,1339,USTIW/WUT,CF,F
ALFU2820058,20181204,1339,USTIW/WUT,CF,F,20181204,1340,USTIW/UNK,FH,E
ALFU2820058,20181204,1340,USTIW/UNK,FH,E,20181228,1304,USTIW/UNK,OH,E
ALFU2820058,20181228,1304,USTIW/UNK,OH,E,20181228,1305,USTIW/UNK,SF,E
,,,,,,,,,,
ALFU2820079,20180606,0,TWKHH/078,OH,E,20180606,800,TWKHH/078,SF,E
ALFU2820079,20180606,800,TWKHH/078,SF,E,20180606,1439,TWKHH/078,LF,F
ALFU2820079,20180606,1439,TWKHH/078,LF,F,20180611,1241,TWKHH/078,VF,F
ALFU2820079,20180611,1241,TWKHH/078,VF,F,20180626,936,USTIW/WUT,DF,F
ALFU2820079,20180626,936,USTIW/WUT,DF,F,20180629,924,USTIW/WUT,CF,F
ALFU2820079,20180629,924,USTIW/WUT,CF,F,20180629,925,USTIW/UNK,FH,E
ALFU2820079,20180629,925,USTIW/UNK,FH,E,20180814,1516,USTIW/UNK,OH,E
ALFU2820079,20180814,1516,USTIW/UNK,OH,E,20180814,1517,USTIW/UNK,SF,E
ALFU2820079,20180814,1517,USTIW/UNK,SF,E,20180827,1316,USTIW/WUT,LF,F
ALFU2820079,20180827,1316,USTIW/WUT,LF,F,20180902,2003,USTIW/WUT,VF,F
ALFU2820079,20180902,2003,USTIW/WUT,VF,F,20180925,1902,TWKHH/118,DF,F
ALFU2820079,20180925,1902,TWKHH/118,DF,F,20180926,1400,TWKHH/118,VF,F
ALFU2820079,20180926,1400,TWKHH/118,VF,F,20181005,2300,MYPKG/KMT,DF,F
ALFU2820079,20181005,2300,MYPKG/KMT,DF,F,20181013,207,MYPKG/KMT,CF,F
ALFU2820079,20181013,207,MYPKG/KMT,CF,F,20181014,2400,MYPKG/UNK,FH,E
,,,,,,,,,,
ALPU2220388,20181107,0,TWKHH/078,OH,E,20181107,800,TWKHH/078,SF,E
ALPU2220388,20181107,800,TWKHH/078,SF,E,20181107,834,TWKHH/078,LF,F
ALPU2220388,20181107,834,TWKHH/078,LF,F,20181113,2144,TWKHH/078,VF,F
ALPU2220388,20181113,2144,TWKHH/078,VF,F,20181130,1821,USTIW/WUT,DF,F
ALPU2220388,20181130,1821,USTIW/WUT,DF,F,20181204,1407,USTIW/WUT,CF,F
ALPU2220388,20181204,1407,USTIW/WUT,CF,F,20181204,1408,USTIW/UNK,FH,E
,,,,,,,,,,
AVSU0014429,20181221,1132,USTIW/UNK,OH,E,20181221,1133,USTIW/UNK,SF,E
,,,,,,,,,,
AVSU0014624,20180126,1249,USTIW/UNK,OH,E,20180126,1250,USTIW/UNK,SF,E
AVSU0014624,20180126,1250,USTIW/UNK,SF,E,20180130,1136,USTIW/WUT,LF,F
AVSU0014624,20180130,1136,USTIW/WUT,LF,F,20180203,36,USTIW/WUT,VF,F
AVSU0014624,20180203,36,USTIW/WUT,VF,F,20180223,420,CNSHA/WG2,DF,F
AVSU0014624,20180223,420,CNSHA/WG2,DF,F,20180306,2400,CNSHA/UNK,FH,E
AVSU0014624,20180306,2400,CNSHA/UNK,FH,E,20180409,0,CNSHA/UNK,OH,E
AVSU0014624,20180409,0,CNSHA/UNK,OH,E,20180409,1,CNSHA/WG2,SF,F
AVSU0014624,20180409,1,CNSHA/WG2,SF,F,20180418,2000,CNSHA/WG2,LF,F
AVSU0014624,20180418,2000,CNSHA/WG2,LF,F,20180419,1400,CNSHA/WG2,VF,F
AVSU0014624,20180419,1400,CNSHA/WG2,VF,F,20180502,17,USTIW/WUT,DF,F
AVSU0014624,20180502,17,USTIW/WUT,DF,F,20180503,1337,USTIW/WUT,CF,F
AVSU0014624,20180503,1337,USTIW/WUT,CF,F,20180503,1338,USTIW/UNK,FH,E
AVSU0014624,20180503,1338,USTIW/UNK,FH,E,20180525,800,USTIW/UNK,OH,E
AVSU0014624,20180525,800,USTIW/UNK,OH,E,20180525,801,USTIW/UNK,SF,E
AVSU0014624,20180525,801,USTIW/UNK,SF,E,20180601,1248,USTIW/WUT,LF,F
AVSU0014624,20180601,1248,USTIW/WUT,LF,F,20180607,1309,USTIW/WUT,VF,F
AVSU0014624,20180607,1309,USTIW/WUT,VF,F,20180627,1300,CNSHA/WG2,DF,F
AVSU0014624,20180627,1300,CNSHA/WG2,DF,F,20180716,2400,CNSHA/UNK,FH,E
AVSU0014624,20180716,2400,CNSHA/UNK,FH,E,20180815,0,CNSHA/UNK,OH,E
AVSU0014624,20180815,0,CNSHA/UNK,OH,E,20180815,1,CNSHA/WG2,SF,F
AVSU0014624,20180815,1,CNSHA/WG2,SF,F,20180825,1500,CNSHA/WG2,LF,F
AVSU0014624,20180825,1500,CNSHA/WG2,LF,F,20180826,0,CNSHA/WG2,VF,F
AVSU0014624,20180826,0,CNSHA/WG2,VF,F,20180909,106,USTIW/WUT,DF,F
AVSU0014624,20180909,106,USTIW/WUT,DF,F,20180910,938,USTIW/WUT,CF,F
AVSU0014624,20180910,938,USTIW/WUT,CF,F,20180910,939,USTIW/UNK,FH,E
AVSU0014624,20180910,939,USTIW/UNK,FH,E,20181005,1021,USTIW/UNK,OH,E
AVSU0014624,20181005,1021,USTIW/UNK,OH,E,20181005,1022,USTIW/UNK,SF,E
AVSU0014624,20181005,1022,USTIW/UNK,SF,E,20181012,928,USTIW/WUT,LF,F
AVSU0014624,20181012,928,USTIW/WUT,LF,F,20181022,1337,USTIW/WUT,VF,F
AVSU0014624,20181022,1337,USTIW/WUT,VF,F,20181116,1730,CNSHA/WG2,DF,F
AVSU0014624,20181116,1730,CNSHA/WG2,DF,F,20181201,2400,CNSHA/UND,FH,E
AVSU0014624,20181201,2400,CNSHA/UND,FH,E,20181207,0,CNSHA/UNK,OH,E
AVSU0014624,20181207,0,CNSHA/UNK,OH,E,20181207,1,CNSHA/WG2,SF,F
AVSU0014624,20181207,1,CNSHA/WG2,SF,F,20181214,1500,CNSHA/WG2,LF,F
AVSU0014624,20181214,1500,CNSHA/WG2,LF,F,20181215,330,CNSHA/WG2,VF,F
AVSU0014624,20181215,330,CNSHA/WG2,VF,F,20181228,21,USTIW/WUT,DF,F
,,,,,,,,,,
AVSU0014917,20180108,1129,USTIW/UNK,OH,E,20180108,1130,USTIW/UNK,SF,E
AVSU0014917,20180108,1130,USTIW/UNK,SF,E,20180115,1036,USTIW/WUT,LF,F
AVSU0014917,20180115,1036,USTIW/WUT,LF,F,20180118,2046,USTIW/WUT,VF,F
AVSU0014917,20180118,2046,USTIW/WUT,VF,F,20180208,700,CNSHA/WG2,DF,F
AVSU0014917,20180208,700,CNSHA/WG2,DF,F,20180209,2400,CNSHA/UNK,FH,E
AVSU0014917,20180209,2400,CNSHA/UNK,FH,E,20180329,0,CNSHA/UNK,OH,E
AVSU0014917,20180329,0,CNSHA/UNK,OH,E,20180329,1,CNSHA/WG2,SF,F
AVSU0014917,20180329,1,CNSHA/WG2,SF,F,20180408,1000,CNSHA/WG2,LF,F
AVSU0014917,20180408,1000,CNSHA/WG2,LF,F,20180410,2030,CNSHA/WG2,VF,F
AVSU0014917,20180410,2030,CNSHA/WG2,VF,F,20180423,1455,USTIW/WUT,DF,F
AVSU0014917,20180423,1455,USTIW/WUT,DF,F,20180426,1613,USTIW/WUT,CF,F
AVSU0014917,20180426,1613,USTIW/WUT,CF,F,20180426,1614,USTIW/UNK,FH,E
AVSU0014917,20180426,1614,USTIW/UNK,FH,E,20180518,1610,USTIW/UNK,OH,E
AVSU0014917,20180518,1610,USTIW/UNK,OH,E,20180518,1611,USTIW/UNK,SF,E
